# ==========================================================================
# T02  shimcurve_models  STAGED UPLOAD  --  PROVISIONAL, pending T27 reload
# --------------------------------------------------------------------------
# The 'shimcurve' FK below is the CURRENTLY-SHIPPED gps_shimura_test coarse
# label (mu_label.coarse_label).  These PREDATE the T29 canonical sort and
# WILL be reassigned on the T27 reload -- do NOT load against the current DB.
# Re-key each row from T02-shimcurve_models-keys.csv via T01-report.md sec 4.
# To produce the loadable file after re-keying:  grep -v '^#' <this> > load.txt
# then (editor creds, from ~/claude/lmfdb):
#   db.shimcurve_models.copy_from('load.txt', sep='|')
# Columns are shimcurve_models.search_cols (alphabetical); id auto-assigned.
# ==========================================================================
dont_display|equation|model_type|number_variables|shimcurve|smooth
boolean|text[]|smallint|smallint|text|boolean

f|{"16x^6 + 59x^4z^2 + 82x^2z^4 + y^2 + 19z^6"}|5|3|38.1.1.4.2.a.1|t
f|{"7x^8 - 30x^7z + 21x^6z^2 + 48x^5z^3 - 37x^4z^4 - 48x^3z^5 + 21x^2z^6 + 30x*z^7 + y^2 + 7z^8"}|5|3|39.1.1.4.3.a.1|t
f|{"7x^16 + 122x^15z + 1019x^14z^2 + 5476x^13z^3 + 21358x^12z^4 + 64170x^11z^5 + 153140x^10z^6 + 294928x^9z^7 + 461947x^8z^8 + 589856x^7z^9 + 612560x^6z^10 + 513360x^5z^11 + 341728x^4z^12 + 175232x^3z^13 + 65216x^2z^14 + 15616x*z^15 + y^2 + 1792z^16"}|5|3|39.78.1.1.4.7.a.1|t
f|{"y^2 - (-x^4 + 45x^2 - 512)"}|8|2|46.1.1.2.1.a.1|t
f|{"243x^8 + 964x^6z^2 + 674x^4z^4 - 92x^2z^6 + y^2 + 3z^8"}|5|3|51.1.1.2.3.a.1|t
f|{"3x^8 - 2x^7z - 3x^6z^2 + 8x^5z^3 + 3x^4z^4 - 8x^3z^5 - 3x^2z^6 + 2x*z^7 + y^2 + 3z^8"}|5|3|55.1.1.4.3.a.1|t
f|{"9x^4 + 36x^3 + 62x^2 + 20x - y^2 + 1","-4x^2 + 2x - z^2 - 1"}|8|3|57.1.1.2.3.a.1|t
f|{"2x^6 + 78x^4z^2 + 862x^2z^4 + y^2 + 1682z^6"}|5|3|58.1.1.4.2.a.1|t
f|{"17x^4 - 10x^2 - y^2 + 9","-3x^2 - z^2 - 16"}|8|3|6.102.1.1.4.3.a.1|t
f|{"19x^8 - 210x^6z^2 + 625x^4z^4 - 210x^2z^6 + y^2 + 19z^8"}|5|3|6.114.1.1.2.3.a.1|t
f|{"64x^12 - 813x^10z^2 + 3066x^8z^4 - 4597x^6z^6 + 12264x^4z^8 - 13008x^2z^10 + y^2 + 4096z^12"}|5|3|6.174.1.1.4.5.a.1|t
f|{"243x^12 - 11882x^10z^2 + 177701x^8z^4 - 803948x^6z^6 + 1599309x^4z^8 - 962442x^2z^10 + y^2 + 177147z^12"}|5|3|6.186.1.1.2.5.a.1|t
f|{"4096x^12 + 18480x^10z^2 + 40200x^8z^4 + 51595x^6z^6 + 40200x^4z^8 + 18480x^2z^10 + y^2 + 4096z^12"}|5|3|6.222.1.1.4.5.a.1|t
f|{"y^2 - (-x^4 + 61x^2 - 1024)"}|8|2|6.30.1.1.4.1.a.1|t
f|{"y^2 - (-3x^4 - 34x^2 - 2187)"}|8|2|6.42.1.1.4.1.a.1|t
f|{"19x^8 + 166x^7z + 439x^6z^2 + 166x^5z^3 - 612x^4z^4 - 166x^3z^5 + 439x^2z^6 - 166x*z^7 + y^2 + 19z^8"}|5|3|6.66.1.1.2.3.a.1|t
f|{"y^2 - (-x^4 - 115x^2 - 4096)"}|8|2|6.78.1.1.4.1.a.1|t
f|{"64x^8 + 99x^6z^2 + 90x^4z^4 + 43x^2z^6 + y^2 + 8z^8"}|5|3|62.1.1.2.3.a.1|t
f|{"243x^8 - 1268x^6z^2 + 666x^4z^4 + 2268x^2z^6 + y^2 + 2187z^8"}|5|3|69.1.1.2.3.a.1|t
f|{"2x^10 - 47x^8z^2 + 328x^6z^4 - 946x^4z^6 + 4158x^2z^8 + y^2 + 1369z^10"}|5|3|74.1.1.2.4.a.1|t
f|{"16x^4 - 32x^3 + 1032x^2 + 1576x - y^2 + 1549","-3x^2 - z^2 - 6"}|8|3|82.1.1.2.3.a.1|t
f|{"16x^10 - 245x^8z^2 + 756x^6z^4 + 1506x^4z^6 + 740x^2z^8 + y^2 + 43z^10"}|5|3|86.1.1.2.4.a.1|t
f|{"243x^12 - 1178x^10z^2 + 7157x^8z^4 + 26548x^6z^6 + 29421x^4z^8 + 13446x^2z^10 + y^2 + 2187z^12"}|5|3|87.1.1.4.5.a.1|t
f|{"-4x^2 - 6x - z^2 - 9","9x^6 - 18x^5 - 25x^4 - 12x^3 + 71x^2 + 30x - y^2 + 9"}|8|3|93.1.1.2.5.a.1|t
f|{"8x^8 - 69x^6z^2 + 234x^4z^4 - 381x^2z^6 + y^2 + 256z^8"}|5|3|94.1.1.2.3.a.1|t
f|{"7x^16 + 26x^15z + 33x^14z^2 - 26x^13z^3 - 103x^12z^4 - 50x^11z^5 + 124x^10z^6 + 112x^9z^7 - 79x^8z^8 - 112x^7z^9 + 124x^6z^10 + 50x^5z^11 - 103x^4z^12 + 26x^3z^13 + 33x^2z^14 - 26x*z^15 + y^2 + 7z^16"}|5|3|95.1.1.4.7.a.1|t
