# ==========================================================================
# T14  gps_shimura_test  Jacobian columns  --  PROVISIONAL, pending T27 reload
# --------------------------------------------------------------------------
# Scope of THIS file: the 389 COARSE X_0^D(N)-type rows only (autmuO_norms IS
# NULL).  The 2,198 enhanced rows are a deferred follow-up (see the T14 ticket
# Log 2026-07-22 scoping entry).  Populated via the T13/T30-validated
# JLDecomposition arm; every value here reproduces the shipped 338-row ground
# truth exactly (cross-check (a): 338/338).
#
# The `label` key column below is the CURRENTLY-SHIPPED coarse label.  These
# PREDATE the T29 canonical sort and WILL be reassigned on the T27 reload -- do
# NOT load against the current DB.  Re-key each row from T14-jacobian-keys.csv
# (invariant tuple discB,discO,deg_mu,level,index,genus) before loading.
#
# To produce the loadable file after re-keying:  grep -v '^#' <this> > load.txt
# then, with editor credentials, from ~/claude/lmfdb:
#   from lmfdb import db
#   db.gps_shimura_test.update_from_file('load.txt', label_col='label', sep='|')
# ({p,e} pairs in `conductor` are int4[][]; \N is NULL; genus-0 rows carry the
#  trivial empty-array decomposition + NULL trace_hash/traces/log_conductor;
#  18 rows carry NULL trace_hash because a constituent dim>=21 newform has no
#  trace_hash in LMFDB -- see the ticket Log.)
# ==========================================================================
label|newforms|dims|mults|conductor|rank|simple|squarefree|genus_minus_rank|log_conductor|trace_hash|traces
text|text[]|integer[]|integer[]|integer[]|integer|boolean|boolean|integer|numeric|bigint|integer[]

6.186.1.1.2.5.a.1|{186.2.a.a,186.2.a.b,186.2.a.c,186.2.a.d}|{1,1,1,2}|{1,1,1,1}|{{2,5},{3,5},{31,5}}|0|f|t|5|26.1287333685660062337|1820021538397929044|{1,-1,6,0,4,-2,2,8,-8,-10,-1,-18,-14,-20,-8,14,12,14,0,0,18,8,28,26,6,38,8,-28,22,-14,-16,4,-22,4,6,-16,-10,-40,-8,-2,12,-18,0,62,-50,32,-12,40,-36,54,26,0,2,100,-14,72,22,-24,22,-46,8,-10,20,48,-30,-2,-20,-78,-28,30,18,-32,24,-74,-56,-48,-18,-58,-78,-30,12,22,48,106,-48,12,-14,-38,6,72,-12,88,-48,20,60,-48,22,50,4,-10,68,-42,12,10,-12,30,-28,-70,-64,-38,-8,54,-22,-20,24,18,-84,56,-2,-4,46,-22,46,-36,16,-66,-10,0,-32,-74,28,-40,-32,110,-6,26,-66,4,-42,-54,60,-82,80,116,54,24,6,10,68,16,54,146,-68,72,0,-64,56,-62,62,-26,28,74,160,-36,66,-8,16,-58}
6.210.1.1.4.9.a.1|{30.2.a.a,42.2.a.a,210.2.a.a,210.2.a.b,210.2.a.c,210.2.a.d,210.2.a.e}|{1,1,1,1,1,1,1}|{2,2,1,1,1,1,1}|{{2,9},{3,9},{5,7},{7,7}}|1|f|f|8|41.0132716534783907653|1450161142083286026|{1,1,-5,-9,-12,14,2,-12,-8,-2,-8,-18,-30,-20,-16,6,4,-10,4,16,18,16,36,50,-6,38,-16,12,-2,-30,56,-4,58,-20,-10,-8,-50,84,-40,94,-20,-2,-56,-62,-42,32,52,-40,36,-66,-86,8,50,-76,-158,-40,46,8,-34,58,44,54,148,8,50,30,-36,82,76,38,-14,-80,-24,62,-4,-32,-122,14,50,10,-36,-58,-24,26,-32,-20,82,42,-66,-136,-60,-80,-48,116,-60,152,94,-30,-4,14,-44,78,52,26,44,74,-68,82,16,-38,104,-82,26,-36,24,2,-76,104,-82,140,14,114,-138,108,100,62,22,-32,-64,62,-108,-56,-48,-50,-14,82,22,-92,-18,-166,-52,150,-64,-84,-74,152,-42,-22,-36,-64,70,-102,84,8,92,-24,24,26,82,-34,100,58,48,100,18,-72,-48,182}
6.222.1.1.4.5.a.1|{222.2.a.a,222.2.a.b,222.2.a.c,222.2.a.d,222.2.a.e}|{1,1,1,1,1}|{1,1,1,1,1}|{{2,5},{3,5},{37,5}}|0|f|t|5|27.0133869093613972259|1035894678289467468|{-1,-1,2,4,4,6,6,-8,16,-6,-12,1,-22,8,0,6,-20,-2,12,0,14,-12,4,6,2,14,12,-12,-10,30,12,84,34,-12,-34,-4,6,24,-24,-34,-20,-42,32,42,-34,-44,-36,-32,-20,-10,2,-56,42,4,46,56,6,72,14,-10,8,54,-12,-8,26,62,0,-26,52,38,-18,32,-12,-26,-20,8,10,-26,38,-54,-60,-34,-80,14,60,116,-66,10,2,-68,-28,-48,20,-4,-40,-80,-18,50,-24,-42,8,34,-12,38,4,-22,116,-22,72,-42,-28,-26,-86,60,20,-6,-16,88,2,52,-10,-10,86,-36,68,-30,-34,40,4,14,12,-16,-16,46,50,58,-82,-44,90,46,-124,22,52,-116,38,-40,-138,-106,72,-112,-130,-102,32,-80,24,40,12,-6,66,-18,20,-54,52,-44,-58,-16,28,86}
6.246.1.1.2.7.a.1|{246.2.a.a,246.2.a.b,246.2.a.c,246.2.a.d,246.2.a.e,246.2.a.f,246.2.a.g}|{1,1,1,1,1,1,1}|{1,1,1,1,1,1,1}|{{2,7},{3,7},{41,7}}|1|f|t|6|38.5373207515265396328|1619090582501278114|{-1,1,2,8,-4,-6,6,4,0,-14,4,-14,-1,-4,-24,-22,12,2,4,8,-6,-16,12,14,-10,10,12,4,2,22,-4,52,-10,36,42,-48,-14,28,-40,66,20,2,-40,6,-14,-16,4,-4,-60,74,14,16,-30,12,-50,56,-54,48,-62,-2,68,-22,4,-24,-50,-78,-4,58,-36,18,-42,8,16,34,-52,80,34,-70,-10,50,84,50,-64,-30,72,-60,-66,38,130,40,-12,16,-44,-36,4,24,82,-2,-20,-126,68,-78,-76,-74,-36,22,124,38,0,22,32,-6,38,-28,-12,142,20,32,98,-60,-46,14,34,-52,52,66,-46,0,56,10,-12,0,-88,122,-2,106,-102,-44,26,14,44,66,64,-100,-134,8,-62,22,76,-64,34,14,148,120,76,8,-128,-234,-58,10,-60,62,-56,124,-26,-112,-24,50}
6.258.1.1.2.7.a.1|{258.2.a.a,258.2.a.b,258.2.a.c,258.2.a.d,258.2.a.e,258.2.a.f,258.2.a.g}|{1,1,1,1,1,1,1}|{1,1,1,1,1,1,1}|{{2,7},{3,7},{43,7}}|2|f|t|5|38.8707170944513219700|1804203452884639628|{1,-1,-2,-4,0,-2,6,-4,-12,-2,-24,6,6,1,4,-6,-16,-2,36,-8,-18,-16,-16,10,18,34,-16,48,6,58,0,-52,18,-28,30,-28,38,-4,20,-62,36,38,-64,6,42,-12,-4,-36,52,-54,-22,-36,-58,0,-78,-48,26,-40,38,-18,-36,-14,76,-4,-2,-46,60,42,68,-2,22,28,80,22,60,-16,-58,-66,46,-34,84,70,-92,62,-16,-48,-70,38,58,-20,36,4,-48,12,76,-32,-54,-70,68,10,4,-38,32,-18,-28,-34,-84,-54,4,38,68,-70,110,12,-188,10,60,-64,86,-8,70,-10,6,-24,-44,-110,-26,-36,4,-50,-28,176,-12,30,-38,26,70,108,2,-106,-116,114,40,56,-130,-48,-18,46,-28,32,106,38,28,24,-100,-136,-96,26,126,58,-8,66,-80,-96,38,-16,4,46}
6.282.1.1.4.9.a.1|{282.2.a.a,282.2.a.b,282.2.a.c,282.2.a.d,282.2.a.e}|{1,1,2,2,3}|{1,1,1,1,1}|{{2,9},{3,9},{47,9}}|2|f|t|7|50.7771636384430222887|1757044190594905020|{1,1,-2,0,-12,2,-14,0,-24,-2,0,-10,-6,0,-1,-26,-20,-2,0,8,-6,16,4,-22,18,22,8,28,-30,50,-16,-12,26,-16,6,16,6,-16,56,62,-68,18,-32,-70,6,-16,8,64,28,-30,10,0,26,-52,18,8,-18,-8,46,-54,28,54,-108,40,66,-18,20,-38,-84,18,82,-72,96,34,-52,64,-58,22,2,-30,28,26,16,26,24,-28,2,-6,-90,80,100,-64,0,-68,-16,-40,-66,10,52,14,80,30,-52,-86,-148,-110,-148,114,-8,-54,24,6,-70,52,-56,-62,36,56,14,-92,94,-86,46,28,-56,54,78,144,24,-66,36,-152,112,-86,-70,66,22,-72,134,-118,-188,38,-152,204,58,-88,-18,186,32,-80,2,-94,100,104,-124,-112,112,98,42,-34,36,10,56,60,-14,24,-24,-30}
6.318.1.1.4.9.a.1|{318.2.a.a,318.2.a.b,318.2.a.c,318.2.a.d,318.2.a.e,318.2.a.f,318.2.a.g}|{1,1,1,1,1,2,2}|{1,1,1,1,1,1,1}|{{2,9},{3,9},{53,9}}|2|f|t|7|51.8584624450215915146|1654034828941084617|{-1,1,2,4,-4,-2,-2,12,0,-22,-4,22,-18,0,0,-1,-12,-14,-28,-16,2,-12,-20,-26,18,2,4,0,-30,22,28,-16,-10,-12,66,-52,-30,16,-32,26,44,18,64,-14,66,28,-48,20,16,14,-10,72,-14,-84,6,56,-22,-68,34,14,-28,-78,48,-56,-22,34,-28,34,44,-6,54,-72,56,-14,68,-48,2,-14,-130,-22,-12,2,64,22,64,60,74,42,-14,-12,80,-16,160,-12,20,32,18,-82,64,70,28,-6,-36,-10,-68,26,20,-22,16,26,-24,26,102,40,108,22,-32,56,2,-68,86,-54,-118,52,-52,-110,-46,-144,-132,-42,-84,104,-12,62,6,-166,-46,-52,10,-2,24,66,124,132,2,32,-38,-58,24,-56,78,14,-20,-200,-184,-16,4,-138,-62,-54,8,42,76,84,22,96,4,-122}
6.330.1.1.4.13.a.1|{30.2.a.a,66.2.a.a,66.2.a.b,66.2.a.c,330.2.a.a,330.2.a.b,330.2.a.c,330.2.a.d,330.2.a.e}|{1,1,1,1,1,1,1,1,1}|{2,2,2,2,1,1,1,1,1}|{{2,13},{3,13},{5,7},{11,11}}|1|f|f|12|60.9357864877854936174|960246455819538638|{1,1,-5,-16,-1,-2,2,-12,8,30,16,-26,-14,12,-48,6,4,-26,-60,-24,2,48,20,66,10,70,16,-52,-10,18,40,-4,10,-4,-58,8,14,-76,88,46,124,14,-32,26,38,8,36,8,-12,-18,-102,32,10,-108,-30,-104,-50,32,-10,18,-84,6,52,-8,66,-18,-132,42,44,-90,-14,-120,-8,6,-36,64,-106,78,-102,-46,28,-18,112,122,40,28,10,82,126,40,36,48,32,36,4,248,-66,-78,156,6,-188,238,-220,50,-4,-246,28,-142,8,82,120,-122,-38,92,-120,58,-92,-88,62,172,-50,154,38,-100,212,-66,110,32,-16,-98,36,8,-64,-42,306,-102,118,-188,-178,-78,-4,-106,-48,-52,278,184,-10,-22,-4,272,-2,-198,20,8,188,-224,-40,234,-46,62,116,-70,16,132,-62,-40,160,-42}
6.354.1.1.2.11.a.1|{354.2.a.a,354.2.a.b,354.2.a.c,354.2.a.d,354.2.a.e,354.2.a.f,354.2.a.g,354.2.a.h}|{1,1,1,1,1,1,2,3}|{1,1,1,1,1,1,1,1}|{{2,11},{3,11},{59,11}}|2|f|t|9|64.5622660444715189657|1534679279259666144|{1,1,6,4,-4,2,-6,4,-8,-18,-4,18,2,0,16,-26,-1,-6,-32,-40,-42,-28,-20,26,-10,6,44,-20,18,-38,-24,44,34,44,62,28,26,-44,92,-34,28,26,24,-14,14,32,32,-36,44,10,-6,20,-6,100,-22,-24,6,-44,-14,-30,-16,-18,36,-8,-26,6,4,46,-12,-22,-134,8,-4,-62,-20,-136,62,26,42,30,36,-54,-24,-14,-76,28,-38,-50,62,-4,108,44,4,100,36,16,-90,70,-12,-62,-76,-90,20,-110,0,2,124,-18,-40,86,-20,-14,-46,76,44,102,52,-124,-90,-12,2,-2,-42,4,48,-202,-38,104,-36,-150,-72,-28,36,18,-2,22,86,28,118,-118,40,14,140,-52,-62,240,138,162,32,-144,-190,58,-12,-64,12,24,-52,114,38,-26,20,130,-92,-116,-38,-24,20,98}
6.366.1.1.4.9.a.1|{366.2.a.a,366.2.a.b,366.2.a.c,366.2.a.d,366.2.a.e,366.2.a.f,366.2.a.g,366.2.a.h}|{1,1,1,1,1,1,1,2}|{1,1,1,1,1,1,1,1}|{{2,9},{3,9},{61,9}}|2|f|t|7|53.1237000006122962461|1608223410575427568|{-1,-1,-6,-4,4,2,-2,4,8,10,4,14,22,-16,-8,2,4,5,-40,-48,-6,-4,20,22,-26,-6,4,12,18,-2,-44,44,-18,24,-14,12,-10,-20,8,-22,4,78,48,-14,34,20,-32,-20,-12,-22,6,8,58,-20,-62,32,94,12,-2,-18,-12,-42,24,-16,34,-98,8,-94,-76,-26,78,24,-16,-26,36,48,-6,-42,54,66,-20,-10,24,50,36,28,30,90,-34,20,12,8,-8,-12,16,-48,154,-34,16,-58,-48,-86,116,6,-44,18,4,38,120,18,-4,14,-114,12,-20,-106,-120,-88,-102,76,54,2,98,140,92,-134,-34,-32,40,18,8,-216,-36,-46,134,-54,22,96,26,-98,-104,-22,4,-148,58,-32,66,14,-100,120,-50,-106,-128,-40,-48,16,-4,174,-94,146,60,14,148,36,-62,96,104,46}
