# ==========================================================================
# T14  gps_shimura_test  Jacobian columns  --  PROVISIONAL, pending T27 reload
# --------------------------------------------------------------------------
# Scope of THIS file: the 389 COARSE X_0^D(N)-type rows only (autmuO_norms IS
# NULL).  The 2,198 enhanced rows are a deferred follow-up (see the T14 ticket
# Log 2026-07-22 scoping entry).  Populated via the T13/T30-validated
# JLDecomposition arm; every value here reproduces the shipped 338-row ground
# truth exactly (cross-check (a): 338/338).
#
# The `label` key column below is the CURRENTLY-SHIPPED coarse label.  These
# PREDATE the T29 canonical sort and WILL be reassigned on the T27 reload -- do
# NOT load against the current DB.  Re-key each row from T14-jacobian-keys.csv
# (invariant tuple discB,discO,deg_mu,level,index,genus) before loading.
#
# To produce the loadable file after re-keying:  grep -v '^#' <this> > load.txt
# then, with editor credentials, from ~/claude/lmfdb:
#   from lmfdb import db
#   db.gps_shimura_test.update_from_file('load.txt', label_col='label', sep='|')
# ({p,e} pairs in `conductor` are int4[][]; \N is NULL; genus-0 rows carry the
#  trivial empty-array decomposition + NULL trace_hash/traces/log_conductor;
#  18 rows carry NULL trace_hash because a constituent dim>=21 newform has no
#  trace_hash in LMFDB -- see the ticket Log.)
# ==========================================================================
label|newforms|dims|mults|conductor|rank|simple|squarefree|genus_minus_rank|log_conductor|trace_hash|traces
text|text[]|integer[]|integer[]|integer[]|integer|boolean|boolean|integer|numeric|bigint|integer[]

34.374.1.1.4.17.a.1|{34.2.a.a,374.2.a.a,374.2.a.b,374.2.a.c,374.2.a.d,374.2.a.e}|{1,1,3,3,4,4}|{2,1,1,1,1,1}|{{2,17},{11,15},{17,17}}|1|f|f|16|95.9165580104503017853|931651515296365366|{1,0,2,0,13,6,-3,4,16,-6,8,2,-6,36,-28,-26,-20,34,44,-24,-6,48,-28,-50,18,22,-4,16,-6,-62,16,24,30,32,6,24,30,-40,8,-6,44,66,-52,-6,58,16,64,-28,8,14,-38,120,-38,-4,-2,8,-78,32,50,146,40,-146,4,64,-102,-22,-52,122,-48,6,-106,80,-48,-162,8,-80,6,74,90,66,-88,14,64,-66,-64,-84,2,26,22,-148,124,-16,-56,52,64,24,62,-22,-100,114,24,-2,76,26,144,-34,-4,-70,120,-86,-32,22,-38,48,100,26,-144,108,-30,44,-114,82,-150,136,-64,246,-54,-32,-68,-34,204,-184,32,-26,98,-6,-2,-136,-18,178,-40,-54,-80,104,-194,-240,-206,-158,-124,140,10,306,28,120,-120,-32,192,58,-150,-62,-8,-166,88,-60,206,-72,-80,-118}
35.1.1.2.3.a.1|{35.2.a.a,35.2.a.b}|{1,2}|{1,1}|{{5,3},{7,3}}|0|f|t|3|10.6660441844682410391|1381507208195535257|{-1,0,1,-1,-2,10,-2,-4,-8,4,-4,14,-10,0,4,10,-8,14,0,16,-6,-10,20,-6,-10,-10,12,8,16,-22,-12,-16,-38,-8,2,14,38,-4,12,-22,52,26,-14,10,-6,-36,-22,-28,32,26,26,-2,-2,-8,42,-28,2,-48,6,32,-48,-14,-40,40,-10,-30,-4,-22,-12,14,6,40,12,30,20,8,-24,26,44,-6,24,24,2,2,20,-48,8,-18,-42,24,64,-12,40,-22,6,76,-46,-22,68,-44,20,-42,-20,22,44,-18,-60,-90,42,-30,-60,34,90,16,26,-26,40,16,10,-42,30,-22,26,12,-44,20,44,28,80,-30,-2,-12,86,38,110,-38,66,-48,26,-52,0,-8,-44,68,26,-108,-74,-78,-4,-44,-14,34,36,-16,52,-48,38,6,14,30,8,-58,-84,-48,38,20,48,-30}
35.70.1.1.4.7.a.1|{35.2.a.a,35.2.a.b,70.2.a.a}|{1,2,1}|{2,2,1}|{{2,1},{5,7},{7,7}}|0|f|f|7|25.5805836109858410674|1795906700678924686|{-1,0,1,-3,0,14,-2,-8,-16,14,0,18,-18,4,16,18,-24,14,-12,16,-10,-28,48,-2,-18,-26,40,28,38,-42,-32,-48,-82,0,10,36,86,-12,24,-66,92,38,-4,22,2,-88,-40,-40,72,38,46,12,6,-16,62,-48,-2,-96,-6,90,-64,-18,-88,56,-42,-38,-4,-58,-20,38,6,88,40,74,28,40,-34,62,74,-42,72,38,4,6,32,-116,-14,-26,-74,32,88,0,112,-32,0,128,-82,-42,152,-106,52,-62,-56,38,76,-26,-112,-186,84,-18,-152,74,158,40,36,-50,48,48,34,-56,22,-58,70,20,-120,62,86,80,160,-74,24,24,156,98,238,-66,174,-104,46,-110,8,-10,-96,180,6,-232,-194,-210,-56,-120,-14,70,60,-48,52,-96,60,70,78,62,60,-170,-152,-120,46,24,136,-82}
35.105.1.1.2.9.a.1|{35.2.a.a,35.2.a.b,105.2.a.a,105.2.a.b}|{1,2,1,2}|{2,2,1,1}|{{3,3},{5,9},{7,9}}|0|f|f|9|35.2939694194090521915|2261695168806774006|{-1,-1,1,1,0,14,-6,-12,0,2,8,30,-30,4,24,14,-12,22,-4,40,-30,-4,20,-22,-30,-58,32,-4,10,-46,-8,-4,-70,-28,6,4,70,-12,16,-26,84,70,4,10,46,-48,-80,-88,44,86,42,-20,-30,-12,98,-8,6,-96,46,78,-76,14,-116,120,-38,-74,-36,-70,-60,54,10,72,40,62,-4,-32,-14,30,126,-46,12,66,4,26,80,-100,-42,-22,-114,48,156,8,40,-24,40,208,-106,-38,156,-94,4,-50,-44,42,44,-62,-116,-198,60,18,-88,54,234,84,60,-78,60,88,-74,-104,62,-54,158,68,-44,-30,42,104,152,14,40,-56,156,94,146,-102,94,12,86,-26,84,-62,-32,132,-34,-160,-178,-118,44,-80,-146,18,36,-24,204,-48,-12,-70,-70,-18,36,-158,-160,-12,154,32,64,-42}
35.210.1.1.4.25.a.1|{35.2.a.a,35.2.a.b,70.2.a.a,105.2.a.a,105.2.a.b,210.2.a.a,210.2.a.b,210.2.a.c,210.2.a.d,210.2.a.e}|{1,2,1,1,2,1,1,1,1,1}|{4,4,2,2,2,1,1,1,1,1}|{{2,7},{3,11},{5,25},{7,25}}|1|f|f|24|105.820466976504165764|518840067985462208|{1,-1,1,1,4,14,-22,-20,-24,30,8,38,-62,12,48,30,-44,14,-28,48,-62,-24,76,2,-38,-122,72,28,54,-54,-16,-4,-126,-44,14,16,126,20,8,-82,100,118,48,2,110,-128,-180,-192,140,102,66,-48,2,-28,90,8,14,-152,38,178,4,54,-196,216,-94,-74,-36,-174,-84,142,42,144,80,118,12,-16,-58,126,250,-150,108,62,-16,26,144,-276,-118,-54,-258,0,188,64,136,20,92,424,-98,-126,260,-250,68,-10,-132,74,44,-102,-204,-422,136,74,-224,118,434,148,32,-94,-4,216,-202,-52,38,-78,262,236,-132,62,46,224,312,94,156,-72,216,166,322,-78,214,-4,190,-142,228,-74,-72,316,-258,-360,-426,-414,-76,-272,-194,10,100,-24,284,-24,-80,-22,34,-50,180,-430,-248,4,314,56,224,-26}
35.385.1.1.4.25.a.1|{35.2.a.a,35.2.a.b,385.2.a.a,385.2.a.b,385.2.a.c,385.2.a.d,385.2.a.e,385.2.a.f,385.2.a.g,385.2.a.h}|{1,2,1,1,2,2,3,3,3,4}|{2,2,1,1,1,1,1,1,1,1}|{{5,25},{7,25},{11,19}}|4|f|f|21|134.443711720404382330|2146177309097768830|{-5,-4,1,-3,-5,6,-14,-4,0,-14,-16,6,-22,-20,-16,30,20,14,-4,40,-46,-20,44,-14,-38,30,24,-44,10,-30,-72,-36,-86,-28,54,52,70,-76,72,46,84,30,-12,-6,-42,-24,32,24,60,-10,2,44,-14,-4,50,-48,-50,-32,-66,62,-140,22,-108,136,-126,30,12,-102,36,30,2,104,-104,-2,-4,-40,-158,-26,-18,-118,-60,-46,-44,-6,-64,36,22,-54,-10,128,132,80,-16,40,40,168,-218,-86,132,-46,68,-42,-124,-118,44,-46,-20,-198,60,-14,144,-122,138,148,-20,98,28,152,102,-56,78,42,62,-44,52,-14,42,144,152,78,40,32,252,-42,354,-118,118,-212,-82,-122,124,34,-24,52,214,-128,-58,50,12,120,94,82,124,-104,180,-336,132,130,-14,-2,-100,-86,-184,-284,-182,88,16,278}
38.1.1.4.2.a.1|{38.2.a.a,38.2.a.b}|{1,1}|{1,1}|{{2,2},{19,2}}|0|f|t|2|7.27517231945277153885|1379937245306097729|{0,0,-4,2,-4,4,6,0,2,4,-12,0,-8,12,8,-4,24,-8,8,-4,2,-20,-12,-12,-12,20,8,-16,-4,20,20,12,-26,-4,0,-8,-24,4,0,0,0,24,10,8,8,-14,32,40,-32,-32,-12,-6,0,8,20,48,24,18,36,-8,-28,-12,8,-14,10,-36,16,-36,16,0,-6,6,0,52,8,-8,-12,28,-8,12,-12,4,-12,16,-8,-44,-8,10,-40,0,16,16,0,-64,36,18,0,-64,40,4,72,52,-48,16,-32,-26,-24,4,-24,-36,-44,36,12,0,16,48,-48,50,-12,-40,-36,88,-20,40,32,-16,-40,34,-54,-4,-56,-52,-8,0,6,-30,60,-48,-36,-6,8,12,70,56,-4,-28,-52,-24,-36,36,36,-36,0,-44,16,60,-2,-22,-14,28,-60,-16,80,-16,-4,-36,12,36}
38.114.1.1.2.7.a.1|{38.2.a.a,38.2.a.b,114.2.a.a,114.2.a.b,114.2.a.c}|{1,1,1,1,1}|{2,2,1,1,1}|{{2,7},{3,3},{19,7}}|0|f|f|7|28.7589399840890294602|1385107446754728623|{1,-1,-6,4,-8,6,10,1,-8,6,-12,-2,10,12,28,-10,52,2,12,-16,10,-44,-40,-38,-34,50,-12,-28,-34,10,52,48,-78,20,26,4,-6,44,0,30,4,30,40,14,-14,-28,52,36,-4,-86,-42,-24,22,-24,42,60,62,44,34,-14,-20,-34,-12,40,-6,-42,60,-58,64,-14,-30,24,-40,134,-4,32,26,42,-30,6,-48,-2,-64,30,28,-72,-30,50,-78,24,-16,36,44,-48,44,112,-10,-158,100,26,164,154,-156,42,-76,-62,-8,46,-64,-42,-148,74,30,-20,8,154,-68,72,-6,-116,-122,206,-42,108,-20,-110,-142,112,-100,10,-92,-120,28,-46,2,-30,150,-92,-82,-30,28,-30,196,60,14,-24,-6,-30,-44,32,158,-42,36,-120,52,144,-44,-102,-22,142,-128,-30,192,-60,-54,-144,4,74}
38.190.1.1.4.9.a.1|{38.2.a.a,38.2.a.b,190.2.a.a,190.2.a.b,190.2.a.c,190.2.a.d}|{1,1,1,1,1,2}|{2,2,1,1,1,1}|{{2,9},{5,5},{19,9}}|2|f|f|7|40.7854649997079737978|1393139580305025175|{-1,-4,-7,-4,-4,2,10,-1,12,-2,-16,-22,-6,24,12,-14,36,-10,12,8,2,-40,-16,-22,-42,30,16,-36,38,62,48,20,-46,28,-10,-40,-58,-16,40,10,-12,30,0,6,-34,-32,68,48,-76,-58,26,-72,-6,4,102,68,6,-8,110,-38,-104,2,76,32,-38,-62,12,-130,-64,62,10,8,-4,2,28,0,-34,22,-22,50,-76,38,-56,78,40,-64,-62,10,-42,-52,48,48,-32,-60,156,60,-50,-102,12,-26,140,150,-116,74,-68,-110,40,66,-40,-38,-136,6,50,-60,64,66,-48,52,-58,-68,-90,142,2,68,-4,14,-10,48,-148,-34,-28,-24,-72,70,-30,-54,106,-76,-38,-14,36,-106,-28,116,-42,-64,-58,38,-100,128,90,2,40,-16,76,16,-32,10,130,102,-200,-34,108,-36,-74,-32,24,6}
38.266.1.1.4.13.a.1|{38.2.a.a,38.2.a.b,266.2.a.a,266.2.a.b,266.2.a.c,266.2.a.d}|{1,1,2,2,2,3}|{2,2,1,1,1,1}|{{2,13},{7,9},{19,13}}|0|f|f|13|64.8018114179408347485|2118448086020812988|{1,4,-2,3,0,14,6,-1,-4,-2,8,14,-30,16,-8,-34,28,-10,12,-8,14,-8,-28,10,18,22,56,-36,38,26,16,36,-86,28,-2,-8,-74,40,-40,-42,20,78,-4,-6,70,12,28,128,-116,6,22,-52,10,12,-62,88,102,52,14,-38,-60,6,-12,-44,22,-122,52,-86,44,-42,38,148,8,102,124,32,-74,-2,34,10,-28,-18,0,26,-40,-72,2,-46,-138,-8,132,64,24,-4,96,-20,38,-38,-28,46,20,134,-172,-38,-96,-194,-156,58,96,-158,-184,30,14,108,128,122,4,220,86,-228,6,106,86,68,172,-18,-50,84,-140,6,-160,64,0,-42,-66,-66,198,36,-82,-46,188,30,108,60,110,-128,-210,-102,-100,120,166,-118,48,-128,148,104,-60,-98,94,126,-256,114,208,-68,90,-128,-16,94}
39.1.1.4.3.a.1|{39.2.a.a,39.2.a.b}|{1,2}|{1,1}|{{3,3},{13,3}}|0|f|t|3|10.9906849383889392823|1039606320029562550|{-1,1,2,-4,0,-1,6,0,-8,-6,-4,-6,22,-4,-12,2,16,2,0,4,14,8,0,22,6,-14,16,12,-14,6,-16,-12,-10,20,-30,-20,-38,40,-4,-6,-20,18,-8,6,2,40,-44,-4,-32,10,-34,-20,22,-12,6,48,58,-28,-14,38,36,-30,-56,24,6,26,8,14,-52,-30,-18,60,-32,-6,-40,12,2,66,46,-2,-12,42,28,14,32,12,-2,-2,-22,-28,-4,4,36,4,0,0,-6,46,36,50,28,42,-4,-18,4,-42,40,-50,-64,6,0,-86,-42,32,44,6,0,-8,-22,-44,-6,-26,98,16,-64,10,10,-16,-24,2,24,52,40,58,38,54,50,-40,106,30,-24,-30,64,-48,-46,44,26,-66,-68,-52,18,86,-68,-64,20,-120,-64,14,6,26,-136,62,-44,-68,14,44,48,-14}
39.78.1.1.4.7.a.1|{39.2.a.a,39.2.a.b,78.2.a.a}|{1,2,1}|{2,2,1}|{{2,1},{3,7},{13,7}}|0|f|f|7|26.3380787034674703016|2203605661719621181|{-3,1,6,-4,-4,-1,14,-8,-16,-6,-12,-14,34,-4,-16,-6,36,2,-16,0,30,24,12,58,22,-30,48,36,-30,6,-32,-20,-30,52,-66,-28,-62,64,-8,-22,-52,26,-24,-2,22,72,-76,-12,-44,42,-50,-40,54,-20,6,104,90,-60,-6,50,68,-34,-120,48,6,46,24,46,-116,-54,-22,120,-48,-6,-80,0,-22,138,98,-2,-20,106,48,-2,80,20,2,-34,-50,-76,-12,-8,76,44,0,40,30,78,52,66,28,102,-4,-66,-12,-66,84,-142,-152,38,-16,-174,-78,96,52,14,-16,8,-54,-124,-14,-66,234,76,-160,-30,26,-56,-88,2,88,80,40,170,50,110,46,-40,210,62,-48,-18,112,-68,-94,48,50,-114,-180,-64,58,198,-132,-128,68,-200,-144,74,38,6,-276,94,-84,-164,34,112,48,-54}
39.195.1.1.4.13.a.1|{39.2.a.a,39.2.a.b,195.2.a.a,195.2.a.b,195.2.a.c,195.2.a.d,195.2.a.e}|{1,2,1,1,1,1,3}|{2,2,1,1,1,1,1}|{{3,13},{5,7},{13,13}}|0|f|f|13|58.8923667867241061790|1953869548467825803|{3,1,3,-8,4,1,10,-4,-16,14,-16,22,34,-20,-40,46,20,18,4,16,26,20,-4,50,2,-26,16,4,-10,34,-48,-68,-14,24,-34,-64,-58,52,-64,-34,-76,58,-56,-30,14,40,-76,0,-36,38,-62,-40,18,-20,2,72,166,-48,-10,98,52,-2,-140,112,-46,166,60,2,-124,-42,-102,128,-56,30,-20,8,62,126,74,-78,4,110,-8,-22,-12,100,26,-6,-10,16,-36,24,120,-28,44,152,6,-6,36,102,132,54,12,-30,-64,-110,132,-230,-32,-10,-48,-186,-142,12,112,-30,-28,80,-50,28,38,18,174,20,-124,-34,-42,-144,48,-66,4,176,28,174,-46,-78,94,100,294,50,-76,-66,160,-92,-58,48,6,-142,-88,-88,78,162,-52,-144,28,-80,-36,10,-22,102,-164,114,-104,-180,-22,192,44,14}
39.273.1.1.2.17.a.1|{39.2.a.a,39.2.a.b,273.2.a.a,273.2.a.b,273.2.a.c,273.2.a.d,273.2.a.e}|{1,2,1,1,2,3,4}|{2,2,1,1,1,1,1}|{{3,17},{7,11},{13,17}}|2|f|f|15|83.6855596238124356228|2140996111986115884|{-1,1,-2,-5,-4,-3,2,4,-20,-14,-16,-2,26,-8,-24,-6,-4,22,-4,32,26,12,-4,18,-14,-50,56,52,6,30,16,-20,-54,44,-98,-16,-66,20,80,-42,-40,30,-24,58,-18,32,-96,-32,-60,14,-98,-96,50,44,-22,84,62,-104,2,42,44,-130,-140,-64,-62,70,-20,46,4,-2,-110,40,-56,-10,-116,160,22,78,58,-38,-44,118,144,50,152,-16,42,74,-34,8,44,40,40,4,4,88,-106,82,28,134,40,206,-84,-130,-56,-182,196,-102,-196,58,16,-74,-46,-44,152,62,-52,144,-2,-16,38,-66,102,-28,-60,26,-10,120,-64,-82,-108,136,92,2,146,-62,118,-92,158,70,-188,-202,24,-84,-130,8,6,-174,-236,88,110,194,-28,0,40,-212,-216,-22,66,-10,-356,278,-104,-228,138,144,-64,206}
46.1.1.2.1.a.1|{46.2.a.a}|{1}|{1}|{{2,1},{23,1}}|0|t|t|1|3.82864139648909500022|753733786167000906|{-1,0,4,-4,2,-2,-2,-2,1,2,0,-4,6,10,0,-4,12,-8,-10,0,6,-12,14,-6,6,-10,-8,-10,0,-14,16,12,6,-4,-4,-8,12,-8,16,-6,-16,-24,20,26,18,-4,-20,-16,-6,8,-6,-24,22,14,22,-16,-14,8,-14,-6,-14,4,-16,32,22,2,-4,10,8,26,2,-12,12,-4,22,-24,0,14,-18,34,-18,28,-12,-26,8,8,14,-10,18,40,-2,-8,-8,24,16,12,18,38,-34,-6,-36,16,-14,14,14,30,-28,6,16,-26,32,-16,18,-14,-40,14,10,-40,-42,30,-24,-2,-12,12,-4,0,-28,48,-36,-44,-32,-24,48,-48,-30,22,-40,18,8,-30,20,30,24,6,-30,24,46,42,40,-8,18,18,-36,24,10,20,-4,-18,58,36,48,46,-16,-38,6,-36,-56,10}
51.1.1.2.3.a.1|{51.2.a.a,51.2.a.b}|{1,2}|{1,1}|{{3,3},{17,3}}|0|f|t|3|11.7954768981729773149|851411077677499943|{-1,-1,6,-4,-4,4,1,2,0,6,0,-6,-6,-10,-20,2,12,18,4,16,-6,-4,-16,6,-30,30,26,12,-2,-14,6,36,-22,-8,-10,24,12,-20,40,-2,-16,26,0,-54,14,16,4,-2,12,26,18,-8,-10,8,6,4,22,30,14,-18,8,-30,52,-24,10,-42,-54,30,4,0,18,12,-12,-6,8,-16,50,6,18,-36,44,28,-72,40,-56,-48,18,-12,30,-8,60,-32,-12,-24,-20,-40,78,-46,-20,-22,64,-10,24,10,-4,-52,-28,54,-48,42,44,28,-78,-24,-26,-62,-12,24,-10,44,8,26,-42,-12,28,30,-26,0,-8,-38,-30,48,-72,-48,-18,52,-18,-44,-26,18,-76,-50,12,12,82,-72,18,-30,44,-12,-54,82,26,80,40,-32,-10,50,-66,78,60,18,130,-40,-30,24,-16,42}
55.1.1.4.3.a.1|{55.2.a.a,55.2.a.b}|{1,2}|{1,1}|{{5,3},{11,3}}|0|f|t|3|12.0219995556974127560|985648407785799838|{3,0,-1,-4,1,-6,14,-4,4,10,-8,-6,14,-8,-12,10,-4,-6,-8,8,6,16,-16,6,6,-14,4,16,-22,22,36,-12,30,4,2,-16,-30,32,-20,-22,12,10,-8,-34,-14,32,-28,-20,8,-30,22,-16,22,36,22,36,-6,-8,18,30,24,-14,-24,8,-2,2,12,-18,-16,10,38,-8,4,50,76,-52,2,34,14,30,-68,-6,-24,-26,-40,-40,14,-42,-54,-20,-24,-48,-4,-52,-28,-28,10,22,-24,-22,-56,58,48,78,60,-42,0,46,24,-18,-12,34,14,-60,40,94,32,12,2,60,34,-34,2,8,-84,42,-6,48,-4,58,-4,20,-16,10,-50,-26,10,56,18,30,28,-78,20,0,34,32,-46,-42,20,-20,-70,-42,64,76,-112,56,-40,-26,54,-38,88,70,12,-4,86,-76,-40,-78}
57.1.1.2.3.a.1|{57.2.a.a,57.2.a.b,57.2.a.c}|{1,1,1}|{1,1,1}|{{3,3},{19,3}}|1|f|t|2|12.1291538035036504542|1986473786974412056|{-3,1,-4,-2,-2,2,-4,-3,4,-10,4,-2,-10,-6,6,-2,-20,4,12,0,-12,16,32,2,-2,-6,20,8,14,2,-12,2,12,-14,0,-16,-22,-20,52,-2,-32,2,-6,-6,-6,-34,-20,32,24,16,8,-30,26,10,14,14,-50,24,24,2,-14,-38,-36,-10,-10,-22,20,-58,-22,32,-10,42,32,-10,16,-12,-12,32,46,-18,56,42,-76,-34,28,34,-58,-32,-24,18,-54,-36,24,-40,-2,52,-26,22,-48,4,-24,-8,52,18,76,48,-22,-42,-24,2,68,48,52,-4,-10,58,18,-30,16,-48,30,-86,-10,24,6,2,-14,-22,-22,66,-86,16,32,44,52,-16,2,92,-62,-24,8,-120,30,-68,62,84,42,70,34,-40,-62,-68,-22,-104,-24,-20,-48,-18,52,22,-8,-10,-96,-12,-30,-48,16,-112}
58.1.1.4.2.a.1|{58.2.a.a,58.2.a.b}|{1,1}|{1,1}|{{2,2},{29,2}}|1|f|t|1|8.12088602109283867320|1173723399210240869|{0,-4,-2,-4,-4,2,4,-8,4,-2,0,0,0,-4,24,-10,-4,-4,-16,0,-8,8,4,-16,-8,0,8,-4,6,12,0,24,-32,-20,18,12,40,28,-24,-20,-24,-6,-8,24,20,-12,-28,0,0,24,-26,20,34,20,34,-8,20,0,12,14,4,-20,-36,-8,34,-12,-20,-28,16,-34,-28,-16,-48,-22,-8,-20,16,2,22,52,-24,4,12,-32,12,16,12,-12,-28,-12,-4,-16,-20,-28,-28,0,6,14,40,-16,36,-20,-20,-60,-64,-36,28,22,8,-8,32,-58,0,-4,-16,28,36,-52,-40,36,28,10,20,8,-24,58,50,-56,40,-24,-4,16,64,-20,76,28,8,24,-20,24,-12,-70,-32,36,12,0,44,-38,-76,-40,-10,84,-68,32,0,-16,24,-12,12,22,84,14,72,-80,50,88,48,24}
62.1.1.2.3.a.1|{62.2.a.a,62.2.a.b}|{1,2}|{1,1}|{{2,3},{31,3}}|0|f|t|3|12.3814031551352746660|1756907352318029926|{-1,2,-2,4,-6,0,-6,-4,8,-4,1,20,6,6,4,0,-24,-8,4,8,-10,-4,14,6,6,14,24,8,-22,14,-4,-36,2,-26,-2,-12,18,0,-16,10,34,12,60,-10,12,16,0,-12,24,-12,6,-28,-30,-34,-10,-28,36,-4,56,6,8,-22,-16,32,26,-58,6,46,-30,-10,-26,-20,-40,2,72,-36,16,-2,-6,50,-40,-50,-4,-30,12,28,42,-22,60,-16,16,-32,84,6,-62,72,4,22,-30,-54,-16,-68,12,-22,-10,46,-94,-18,-20,-2,56,48,54,38,-44,2,14,4,54,36,2,34,0,-16,4,18,12,-40,8,38,14,-4,12,-24,106,22,4,110,36,-6,-24,20,100,14,-76,-60,6,-114,-46,-84,62,46,6,-36,88,-48,48,-38,-42,-24,-46,10,-124,28,102,44,24,-22}
65.1.1.2.5.a.1|{65.2.a.a,65.2.a.b,65.2.a.c}|{1,2,2}|{1,1,1}|{{5,5},{13,5}}|1|f|t|4|20.8719363494781855533|480545568575918730|{-3,0,-1,4,0,-1,-2,-4,0,-10,12,-10,-18,12,12,-10,12,-10,-16,16,-14,-8,-40,2,-2,-2,44,12,10,-2,4,20,-26,-4,18,24,10,-16,-12,46,-12,-42,-8,-2,-30,32,12,44,-40,-34,2,-28,14,-12,58,-4,-34,40,-66,22,28,22,56,-16,-34,54,-48,14,-16,-18,42,-40,60,-14,40,28,14,6,-38,-18,-36,-46,52,42,32,16,38,-18,46,-28,32,48,-60,-20,36,32,86,-54,-80,-74,-36,-82,-52,-70,36,-70,-16,22,-40,-30,104,-6,-42,-28,-20,50,48,60,42,28,-38,-42,-18,96,48,110,78,-32,8,130,16,-132,-48,-2,-22,42,-18,16,18,-14,-16,26,-76,88,62,44,46,42,52,-36,50,50,-20,20,-72,-144,-112,86,-14,-18,8,-14,-60,28,-54,-28,128,118}
69.1.1.2.3.a.1|{69.2.a.a,69.2.a.b}|{1,2}|{1,1}|{{3,3},{23,3}}|0|f|t|3|12.7023195137917781466|494599197810539334|{1,-1,-2,0,12,-6,-6,12,1,2,0,2,-2,12,-8,-18,-4,-6,-4,-8,-18,16,20,-14,-2,18,-24,28,2,26,0,12,10,4,-10,-24,-6,-4,-8,2,36,10,0,-10,26,0,44,-16,-60,-6,-18,0,46,12,-26,-8,18,-64,-14,-6,4,22,-20,32,30,2,20,14,28,-54,-2,24,0,66,12,32,-10,-22,-22,-18,-12,-6,16,22,24,-28,22,-10,18,-16,4,-16,72,60,12,-40,-62,-62,20,-38,44,-66,36,-38,12,22,4,102,-8,-66,16,-78,-78,12,16,26,4,32,-70,68,-30,22,-10,-92,-20,38,-6,56,40,50,12,-24,72,90,22,22,54,-12,38,-26,-60,34,-8,28,-38,-88,66,-66,-12,-40,42,-14,28,128,4,48,16,-10,62,22,-28,-22,-56,12,10,-24,-16,2}
74.1.1.2.4.a.1|{74.2.a.a,74.2.a.b}|{2,2}|{1,1}|{{2,4},{37,4}}|0|f|t|4|17.2162603728166790151|1624149039606422402|{0,2,0,0,-6,0,-12,4,-4,0,20,0,26,-12,4,-20,0,16,2,0,-18,-4,0,-16,4,20,4,6,-8,12,-32,0,14,10,28,-12,-24,-28,28,-24,0,60,4,0,-36,48,6,16,-16,36,6,-4,4,-52,-28,-16,-20,-8,-16,0,60,-8,6,-4,52,28,44,-18,72,8,88,-8,-28,28,54,-16,-56,44,-8,-4,10,-8,-16,-34,12,30,-64,-52,-64,68,-4,52,-48,2,0,-4,-52,48,60,0,-8,24,-4,0,-38,-16,-92,70,-24,-34,-4,-88,-6,-6,12,-30,-100,44,-40,-34,-24,74,16,-20,16,16,-8,-32,-4,80,-78,-32,8,0,14,-32,-76,-24,64,8,66,24,0,116,64,-104,48,-8,104,36,20,-6,20,48,-24,-72,-24,-54,-38,-24,20,-2,76,78,132,-16,84,-40}
77.1.1.2.5.a.1|{77.2.a.a,77.2.a.b,77.2.a.c,77.2.a.d}|{1,1,1,2}|{1,1,1,1}|{{7,5},{11,5}}|1|f|t|4|21.7190271092684192458|1181247422697533885|{1,2,-4,1,-3,-2,-2,0,-10,6,6,-8,-10,28,8,-10,-2,-22,30,-14,-2,4,28,-20,-8,-42,0,0,10,0,36,32,8,-16,-10,-20,12,36,-4,-2,-2,-16,-38,2,54,-24,8,6,-20,16,-14,8,-46,-10,-38,-4,22,-16,50,-2,60,-70,12,-40,-28,44,-30,-22,24,-54,-20,16,22,-22,-14,62,44,6,-6,-10,60,-2,16,-48,4,-58,-52,30,10,2,38,-8,-58,-32,36,24,80,32,124,-22,12,6,76,18,-52,-80,60,-10,-88,-46,-28,-6,-14,-6,-18,-28,-82,-62,64,32,-20,-74,2,44,-26,-62,-8,-74,-10,14,-24,-40,-6,62,34,82,-74,-16,4,90,-8,118,-42,20,-36,94,-30,42,62,40,38,16,4,-36,4,160,120,-30,50,18,-122,70,28,-14,48,126,32,14}
82.1.1.2.3.a.1|{82.2.a.a,82.2.a.b}|{1,2}|{1,1}|{{2,3},{41,3}}|1|f|t|2|13.2201577417927593399|729492919519429835|{1,-2,-2,-8,-2,4,2,-2,0,8,-16,2,-3,-4,0,20,0,-2,-10,4,-6,-8,36,-26,2,-36,-8,20,12,10,0,8,-6,16,-4,-12,-4,4,-4,-2,18,-16,-20,26,-26,0,6,-24,-10,-24,54,-28,34,-24,-18,-16,66,-40,50,-26,-56,-16,0,4,34,4,10,-18,14,38,30,-8,-8,-6,0,20,22,32,2,-42,12,16,-24,10,28,-24,6,-30,2,-40,-32,80,-16,-32,34,24,8,-38,-12,-10,-22,24,26,42,50,14,-10,-2,-24,46,48,6,-82,40,-32,66,-78,40,-24,-6,46,-118,-66,-118,2,2,-16,-60,36,54,-20,-8,-84,-8,-22,-58,24,8,10,-86,56,34,-68,58,-50,0,-42,54,8,72,42,42,-54,40,56,120,4,106,-34,-26,0,6,64,-18,58,8,12,4}
