# T03 PARKED per-point records -- PROVISIONAL, pending T27 reload + target-row generation.
# One row per known degree-1 rational point on an UNMAPPED AL-quotient curve.
# When the curve row exists, set curve_label from the join key and copy_from the
# shimcurve_points columns (degree=1, residue_field=1.1.1.1, coordinates as given).
# coordinates jsonb = {"<model_type>":["a:b:c"]}; model_type = T02 model whose
# number_variables == coordinate arity.
old_label|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|arity|model_type|degree|residue_field|coordinates
26.3-[1,3,13,39]|26|78|1|1|1,3,13,39|2|3|5|1|1.1.1.1|{"5":["2:10:1"]}
26.3-[1,39]|26|78|1|1|1,39|3|3|5|1|1.1.1.1|{"5":["1:0:0"]}
26.3-[1,39]|26|78|1|1|1,39|3|3|5|1|1.1.1.1|{"5":["1:-1:0"]}
26.3-[1,6,13,78]|26|78|1|1|1,6,13,78|1|3|5|1|1.1.1.1|{"5":["0:0:1"]}
26.3-[1,6,13,78]|26|78|1|1|1,6,13,78|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
26.3-[1,6,13,78]|26|78|1|1|1,6,13,78|1|3|5|1|1.1.1.1|{"5":["0:-1:1"]}
26.3-[1,78]|26|78|1|1|1,78|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
26.3-[1,78]|26|78|1|1|1,78|2|3|5|1|1.1.1.1|{"5":["1:-2:1"]}
26.3-[1,78]|26|78|1|1|1,78|2|3|5|1|1.1.1.1|{"5":["1:0:1"]}
26.3-[1,78]|26|78|1|1|1,78|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
26.3-[1,78]|26|78|1|1|1,78|2|3|5|1|1.1.1.1|{"5":["0:-1:1"]}
26.3-[1,78]|26|78|1|1|1,78|2|3|5|1|1.1.1.1|{"5":["1:-1:0"]}
35.1-[1,5]|35|35|1|1|1,5|2|3|5|1|1.1.1.1|{"5":["-1:-1:1"]}
35.1-[1,5]|35|35|1|1|1,5|2|3|5|1|1.1.1.1|{"5":["3:-50:4"]}
35.1-[1,5]|35|35|1|1|1,5|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
35.1-[1,7]|35|35|1|1|1,7|1|3|5|1|1.1.1.1|{"5":["1:3:1"]}
35.1-[1,7]|35|35|1|1|1,7|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
35.1-[1,7]|35|35|1|1|1,7|1|3|5|1|1.1.1.1|{"5":["1:-4:1"]}
38.1-[1,19]|38|38|1|1|1,19|1|3|5|1|1.1.1.1|{"5":["0:-10:1"]}
38.1-[1,19]|38|38|1|1|1,19|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
38.1-[1,19]|38|38|1|1|1,19|1|3|5|1|1.1.1.1|{"5":["0:9:1"]}
38.1-[1,2]|38|38|1|1|1,2|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
39.2-[1,2,13,26]|39|78|1|1|1,2,13,26|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
39.2-[1,2,13,26]|39|78|1|1|1,2,13,26|2|3|5|1|1.1.1.1|{"5":["8:-676:7"]}
39.2-[1,2,3,6]|39|78|1|1|1,2,3,6|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
39.2-[1,2,3,6]|39|78|1|1|1,2,3,6|2|3|5|1|1.1.1.1|{"5":["-1:-1:1"]}
39.2-[1,2,3,6]|39|78|1|1|1,2,3,6|2|3|5|1|1.1.1.1|{"5":["-1:2:1"]}
39.2-[1,2,3,6]|39|78|1|1|1,2,3,6|2|3|5|1|1.1.1.1|{"5":["-4:26:1"]}
39.2-[1,2,3,6]|39|78|1|1|1,2,3,6|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
39.2-[1,2,3,6]|39|78|1|1|1,2,3,6|2|3|5|1|1.1.1.1|{"5":["1:-1:0"]}
39.2-[1,3,26,78]|39|78|1|1|1,3,26,78|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
39.2-[1,3,26,78]|39|78|1|1|1,3,26,78|2|3|5|1|1.1.1.1|{"5":["-4:26:1"]}
39.2-[1,6,13,78]|39|78|1|1|1,6,13,78|1|4|8|1|1.1.1.1|{"8":["-2:0:0:1"]}
39.2-[1,6,13,78]|39|78|1|1|1,6,13,78|1|4|8|1|1.1.1.1|{"8":["2:0:0:1"]}
39.2-[1,6]|39|78|1|1|1,6|3|3|5|1|1.1.1.1|{"5":["0:0:1"]}
39.2-[1,6]|39|78|1|1|1,6|3|3|5|1|1.1.1.1|{"5":["1:0:0"]}
39.2-[1,6]|39|78|1|1|1,6|3|3|5|1|1.1.1.1|{"5":["0:-1:1"]}
39.2-[1,6]|39|78|1|1|1,6|3|3|5|1|1.1.1.1|{"5":["1:-1:0"]}
51.1-[1,17]|51|51|1|1|1,17|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
51.1-[1,17]|51|51|1|1|1,17|2|3|5|1|1.1.1.1|{"5":["-4:34:1"]}
51.1-[1,17]|51|51|1|1|1,17|2|3|5|1|1.1.1.1|{"5":["-3:15:1"]}
51.1-[1,3]|51|51|1|1|1,3|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
57.1-[1,3]|57|57|1|1|1,3|2|3|5|1|1.1.1.1|{"5":["-1:1:1"]}
58.1-[1,2]|58|58|1|1|1,2|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.17-[1,2,3,6]|6|102|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["191/4:-191/8:1"]}
6.17-[1,2,3,6]|6|102|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.17-[1,3,17,51]|6|102|1|1|1,3,17,51|1|3|5|1|1.1.1.1|{"5":["71/4:-75/8:1"]}
6.17-[1,3,17,51]|6|102|1|1|1,3,17,51|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.17-[1,51]|6|102|1|1|1,51|1|4|8|1|1.1.1.1|{"8":["-17/9:0:0:1"]}
6.17-[1,51]|6|102|1|1|1,51|1|4|8|1|1.1.1.1|{"8":["17/9:0:0:1"]}
6.19-[1,2,19,38]|6|114|1|1|1,2,19,38|1|3|5|1|1.1.1.1|{"5":["339/4:-343/8:1"]}
6.19-[1,2,19,38]|6|114|1|1|1,2,19,38|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.19-[1,2,3,6]|6|114|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["95/4:-95/8:1"]}
6.19-[1,2,3,6]|6|114|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.19-[1,38]|6|114|1|1|1,38|2|3|5|1|1.1.1.1|{"5":["3:-19:2"]}
6.19-[1,38]|6|114|1|1|1,38|2|3|5|1|1.1.1.1|{"5":["-1:-3:2"]}
6.19-[1,6,38,57]|6|114|1|1|1,6,38,57|1|3|5|1|1.1.1.1|{"5":["43/4:-43/8:1"]}
6.19-[1,6,38,57]|6|114|1|1|1,6,38,57|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.19-[1,6]|6|114|1|1|1,6|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
6.19-[1,6]|6|114|1|1|1,6|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
6.29-[1,2,29,58]|6|174|1|1|1,2,29,58|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.29-[1,2,3,6]|6|174|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.29-[1,3,29,87]|6|174|1|1|1,3,29,87|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
6.29-[1,3,29,87]|6|174|1|1|1,3,29,87|2|3|5|1|1.1.1.1|{"5":["9:-612:8"]}
6.29-[1,3,29,87]|6|174|1|1|1,3,29,87|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
6.29-[1,6,58,87]|6|174|1|1|1,6,58,87|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.29-[1,87]|6|174|1|1|1,87|3|3|5|1|1.1.1.1|{"5":["-1:2:2"]}
6.29-[1,87]|6|174|1|1|1,87|3|3|5|1|1.1.1.1|{"5":["1:-1:1"]}
6.31-[1,2,3,6]|6|186|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.31-[1,2,31,62]|6|186|1|1|1,2,31,62|2|3|5|1|1.1.1.1|{"5":["3:-6:1"]}
6.31-[1,2,31,62]|6|186|1|1|1,2,31,62|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
6.31-[1,2,31,62]|6|186|1|1|1,2,31,62|2|3|5|1|1.1.1.1|{"5":["-7:-42:3"]}
6.31-[1,3,31,93]|6|186|1|1|1,3,31,93|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.31-[1,6,62,93]|6|186|1|1|1,6,62,93|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.31-[1,62]|6|186|1|1|1,62|3|3|5|1|1.1.1.1|{"5":["3:-300:5"]}
6.31-[1,62]|6|186|1|1|1,62|3|3|5|1|1.1.1.1|{"5":["-1:0:1"]}
6.37-[1,111]|6|222|1|1|1,111|3|3|5|1|1.1.1.1|{"5":["-2:-2:1"]}
6.37-[1,111]|6|222|1|1|1,111|3|3|5|1|1.1.1.1|{"5":["-1:-2:2"]}
6.37-[1,2,3,6]|6|222|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.37-[1,2,37,74]|6|222|1|1|1,2,37,74|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.37-[1,3,37,111]|6|222|1|1|1,3,37,111|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.37-[1,6,74,111]|6|222|1|1|1,6,74,111|2|3|5|1|1.1.1.1|{"5":["-1:1:2"]}
6.37-[1,6,74,111]|6|222|1|1|1,6,74,111|2|3|5|1|1.1.1.1|{"5":["7:-63:2"]}
6.37-[1,6,74,111]|6|222|1|1|1,6,74,111|2|3|5|1|1.1.1.1|{"5":["-1:0:1"]}
6.37-[1,74]|6|222|1|1|1,74|3|3|5|1|1.1.1.1|{"5":["4:-34:1"]}
6.37-[1,74]|6|222|1|1|1,74|3|3|5|1|1.1.1.1|{"5":["-4:34:1"]}
6.11-[1,2,11,22]|6|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["39/4:-43/8:1"]}
6.11-[1,2,11,22]|6|66|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.11-[1,2,3,6]|6|66|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
6.11-[1,2,3,6]|6|66|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["463/4:-463/8:1"]}
6.11-[1,3,11,33]|6|66|1|1|1,3,11,33|1|3|5|1|1.1.1.1|{"5":["19/4:-23/8:1"]}
6.11-[1,3,11,33]|6|66|1|1|1,3,11,33|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
62.1-[1,31]|62|62|1|1|1,31|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
62.1-[1,31]|62|62|1|1|1,31|2|3|5|1|1.1.1.1|{"5":["-1:0:1"]}
69.1-[1,23]|69|69|1|1|1,23|2|3|5|1|1.1.1.1|{"5":["1:-10:4"]}
69.1-[1,23]|69|69|1|1|1,23|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
74.1-[1,2]|74|74|1|1|1,2|2|3|5|1|1.1.1.1|{"5":["-5:-15:3"]}
74.1-[1,37]|74|74|1|1|1,37|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
86.1-[1,2]|86|86|1|1|1,2|2|3|5|1|1.1.1.1|{"5":["-3:-3:1"]}
86.1-[1,43]|86|86|1|1|1,43|2|3|5|1|1.1.1.1|{"5":["2:-3:1"]}
94.1-[1,47]|94|94|1|1|1,47|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
94.1-[1,47]|94|94|1|1|1,47|2|3|5|1|1.1.1.1|{"5":["-2:-1:1"]}
