# T03 PARKED per-point records -- PROVISIONAL, pending T27 reload + target-row generation.
# One row per known degree-1 rational point on an UNMAPPED AL-quotient curve.
# When the curve row exists, set curve_label from the join key and copy_from the
# shimcurve_points columns (degree=1, residue_field=1.1.1.1, coordinates as given).
# coordinates jsonb = {"<model_type>":["a:b:c"]}; model_type = T02 model whose
# number_variables == coordinate arity.
old_label|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|arity|model_type|degree|residue_field|coordinates
14.3-[1,6,7,42]|14|42|1|1|1,6,7,42|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.3-[1,6,7,42]|14|42|1|1|1,6,7,42|1|3|5|1|1.1.1.1|{"5":["7/4:-11/8:1"]}
14.5-[1,2,5,10]|14|70|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["-37/4:33/8:1"]}
14.5-[1,2,5,10]|14|70|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.5-[1,35]|14|70|1|1|1,35|1|4|8|1|1.1.1.1|{"8":["-1/196:-1/28:-1/4:1"]}
14.5-[1,35]|14|70|1|1|1,35|1|4|8|1|1.1.1.1|{"8":["1/196:1/28:1/4:1"]}
14.5-[1,5,7,35]|14|70|1|1|1,5,7,35|1|3|5|1|1.1.1.1|{"5":["-121/4:117/8:1"]}
14.5-[1,5,7,35]|14|70|1|1|1,5,7,35|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["2:-1:1"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["2:-2:1"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["0:-4:1"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["0:3:1"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["7/4:-11/8:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["-12496225/103388224:3535/40672:-1/16:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["-986049/6461764:993/2542:-1:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["190969/103388224:-1311/40672:9/16:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["-190969/103388224:1311/40672:-9/16:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["12496225/103388224:-3535/40672:1/16:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["986049/6461764:-993/2542:1:1"]}
15.2-[1,2,3,6]|15|30|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["21:-11:1"]}
15.2-[1,2,3,6]|15|30|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["-11:5:1"]}
15.2-[1,2,3,6]|15|30|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["-41/4:37/8:1"]}
15.2-[1,2,3,6]|15|30|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["-2:3:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["8:-27:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["-13/4:9/8:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["8:18:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["-2:-2:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["3:-2:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["-1:0:1"]}
15.2-[1,30]|15|30|1|1|1,30|1|4|8|1|1.1.1.1|{"8":["-1/4:-1/4:-1/4:1"]}
15.2-[1,30]|15|30|1|1|1,30|1|4|8|1|1.1.1.1|{"8":["1/4:-1/4:1/4:1"]}
15.2-[1,30]|15|30|1|1|1,30|1|4|8|1|1.1.1.1|{"8":["1/4:1/4:1/4:1"]}
15.2-[1,30]|15|30|1|1|1,30|1|4|8|1|1.1.1.1|{"8":["-1/4:1/4:-1/4:1"]}
15.2-[1,3]|15|30|1|1|1,3|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
15.2-[1,3]|15|30|1|1|1,3|1|3|5|1|1.1.1.1|{"5":["5:-3:1"]}
15.2-[1,5,6,30]|15|30|1|1|1,5,6,30|1|3|5|1|1.1.1.1|{"5":["0:-2:1"]}
15.2-[1,5,6,30]|15|30|1|1|1,5,6,30|1|3|5|1|1.1.1.1|{"5":["1:-1:1"]}
15.2-[1,5,6,30]|15|30|1|1|1,5,6,30|1|3|5|1|1.1.1.1|{"5":["-3:1:1"]}
15.2-[1,5,6,30]|15|30|1|1|1,5,6,30|1|3|5|1|1.1.1.1|{"5":["3/4:-7/8:1"]}
15.2-[1,5,6,30]|15|30|1|1|1,5,6,30|1|3|5|1|1.1.1.1|{"5":["0:1:1"]}
15.2-[1,5,6,30]|15|30|1|1|1,5,6,30|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
15.2-[1,5,6,30]|15|30|1|1|1,5,6,30|1|3|5|1|1.1.1.1|{"5":["2:1:1"]}
15.2-[1,5,6,30]|15|30|1|1|1,5,6,30|1|3|5|1|1.1.1.1|{"5":["2:-4:1"]}
15.2-[1,5]|15|30|1|1|1,5|2|3|5|1|1.1.1.1|{"5":["1:0:1"]}
15.2-[1,5]|15|30|1|1|1,5|2|3|5|1|1.1.1.1|{"5":["-2:0:1"]}
15.2-[1,5]|15|30|1|1|1,5|2|3|5|1|1.1.1.1|{"5":["-1:0:3"]}
15.2-[1,5]|15|30|1|1|1,5|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
15.4-[1,12]|15|60|1|1|1,12|3|3|5|1|1.1.1.1|{"5":["1:0:0"]}
15.4-[1,12]|15|60|1|1|1,12|3|3|5|1|1.1.1.1|{"5":["1:-1:0"]}
15.4-[1,3,20,60]|15|60|1|1|1,3,20,60|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
15.4-[1,3,20,60]|15|60|1|1|1,3,20,60|1|3|5|1|1.1.1.1|{"5":["5:-3:1"]}
15.4-[1,3,4,12]|15|60|1|1|1,3,4,12|1|3|5|1|1.1.1.1|{"5":["3:-8:1"]}
15.4-[1,3,4,12]|15|60|1|1|1,3,4,12|1|3|5|1|1.1.1.1|{"5":["0:1:1"]}
15.4-[1,3,4,12]|15|60|1|1|1,3,4,12|1|3|5|1|1.1.1.1|{"5":["0:-2:1"]}
15.4-[1,3,4,12]|15|60|1|1|1,3,4,12|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
15.4-[1,3,4,12]|15|60|1|1|1,3,4,12|1|3|5|1|1.1.1.1|{"5":["3:4:1"]}
15.4-[1,3,4,12]|15|60|1|1|1,3,4,12|1|3|5|1|1.1.1.1|{"5":["-1:0:1"]}
15.4-[1,4,5,20]|15|60|1|1|1,4,5,20|1|3|5|1|1.1.1.1|{"5":["0:0:1"]}
15.4-[1,4,5,20]|15|60|1|1|1,4,5,20|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
15.4-[1,4,5,20]|15|60|1|1|1,4,5,20|1|3|5|1|1.1.1.1|{"5":["0:-1:1"]}
15.4-[1,4,5,20]|15|60|1|1|1,4,5,20|1|3|5|1|1.1.1.1|{"5":["-1:0:1"]}
15.4-[1,4]|15|60|1|1|1,4|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
15.4-[1,4]|15|60|1|1|1,4|2|3|5|1|1.1.1.1|{"5":["1:-2:1"]}
15.4-[1,4]|15|60|1|1|1,4|2|3|5|1|1.1.1.1|{"5":["1:0:1"]}
15.4-[1,4]|15|60|1|1|1,4|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
15.4-[1,4]|15|60|1|1|1,4|2|3|5|1|1.1.1.1|{"5":["0:-1:1"]}
15.4-[1,4]|15|60|1|1|1,4|2|3|5|1|1.1.1.1|{"5":["1:-1:0"]}
15.4-[1,5,12,60]|15|60|1|1|1,5,12,60|2|3|5|1|1.1.1.1|{"5":["1:0:3"]}
15.4-[1,5,12,60]|15|60|1|1|1,5,12,60|2|3|5|1|1.1.1.1|{"5":["2:0:1"]}
15.4-[1,5,12,60]|15|60|1|1|1,5,12,60|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
15.4-[1,5,12,60]|15|60|1|1|1,5,12,60|2|3|5|1|1.1.1.1|{"5":["-1:0:1"]}
21.2-[1,2,3,6]|21|42|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["-17/4:17/8:1"]}
21.2-[1,2,3,6]|21|42|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["8:-4:1"]}
