old_label,D,M,discB,discO,deg_mu,level,al_set,al_gens,n_al,is_trivial_quotient,is_full_star,hall_divisors_DM,al_all_hall,has_identity_1,in_models,model_dup_count,in_points,pt_genus,pt_count,pt_M,coords
"6.19-[1,3]",6,19,6,114,1,1,"1,3",3,2,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,1,0,19,{}
"6.19-[1,6]",6,19,6,114,1,1,"1,6",6,2,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,2,2,19,"{[ 0, 0, 1 ],[ 1, 0, 0 ]}"
"6.19-[1,19]",6,19,6,114,1,1,"1,19",19,2,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,1,0,19,{}
"6.19-[1,38]",6,19,6,114,1,1,"1,38",38,2,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,2,2,19,"{[ 3, -19, 2 ],[ -1, -3, 2 ]}"
"6.19-[1,57]",6,19,6,114,1,1,"1,57",57,2,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,1,0,19,{}
"6.19-[1,114]",6,19,6,114,1,1,"1,114",114,2,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,0,infinite,19,[]
"6.19-[1,2,3,6]",6,19,6,114,1,1,"1,2,3,6","2,3,6",4,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,1,2,19,"{[ 95/4, -95/8, 1 ],[ 0, 1, 0 ]}"
"6.19-[1,2,19,38]",6,19,6,114,1,1,"1,2,19,38","2,19,38",4,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,1,2,19,"{[ 339/4, -343/8, 1 ],[ 0, 1, 0 ]}"
"6.19-[1,2,57,114]",6,19,6,114,1,1,"1,2,57,114","2,57,114",4,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,0,infinite,19,[]
"6.19-[1,3,19,57]",6,19,6,114,1,1,"1,3,19,57","3,19,57",4,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,0,0,19,[]
"6.19-[1,3,38,114]",6,19,6,114,1,1,"1,3,38,114","3,38,114",4,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,0,infinite,19,[]
"6.19-[1,6,19,114]",6,19,6,114,1,1,"1,6,19,114","6,19,114",4,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,0,infinite,19,[]
"6.19-[1,6,38,57]",6,19,6,114,1,1,"1,6,38,57","6,38,57",4,False,False,"1,2,3,6,19,38,57,114",True,True,True,1,True,1,2,19,"{[ 43/4, -43/8, 1 ],[ 0, 1, 0 ]}"
"6.19-[1,2,3,6,19,38,57,114]",6,19,6,114,1,1,"1,2,3,6,19,38,57,114","2,3,6,19,38,57,114",8,False,True,"1,2,3,6,19,38,57,114",True,True,True,1,True,0,infinite,19,[]
6.29-[1],6,29,6,174,1,1,1,,1,True,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,5,0,29,{}
"6.29-[1,2]",6,29,6,174,1,1,"1,2",2,2,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,2,0,29,{}
"6.29-[1,3]",6,29,6,174,1,1,"1,3",3,2,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,3,0,29,{}
"6.29-[1,6]",6,29,6,174,1,1,"1,6",6,2,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,2,0,29,{}
"6.29-[1,29]",6,29,6,174,1,1,"1,29",29,2,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,3,0,29,{}
"6.29-[1,58]",6,29,6,174,1,1,"1,58",58,2,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,2,0,29,{}
"6.29-[1,87]",6,29,6,174,1,1,"1,87",87,2,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,3,2,29,"{[ -1, 2, 2 ],[ 1, -1, 1 ]}"
"6.29-[1,174]",6,29,6,174,1,1,"1,174",174,2,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,0,infinite,29,[]
"6.29-[1,2,3,6]",6,29,6,174,1,1,"1,2,3,6","2,3,6",4,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,1,1,29,"{[ 0, 1, 0 ]}"
"6.29-[1,2,29,58]",6,29,6,174,1,1,"1,2,29,58","2,29,58",4,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,1,1,29,"{[ 0, 1, 0 ]}"
"6.29-[1,2,87,174]",6,29,6,174,1,1,"1,2,87,174","2,87,174",4,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,0,infinite,29,[]
"6.29-[1,3,29,87]",6,29,6,174,1,1,"1,3,29,87","3,29,87",4,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,2,3,29,"{[ 0, 0, 1 ],[ 9, -612, 8 ],[ 1, 0, 0 ]}"
"6.29-[1,3,58,174]",6,29,6,174,1,1,"1,3,58,174","3,58,174",4,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,0,infinite,29,[]
"6.29-[1,6,29,174]",6,29,6,174,1,1,"1,6,29,174","6,29,174",4,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,0,infinite,29,[]
"6.29-[1,6,58,87]",6,29,6,174,1,1,"1,6,58,87","6,58,87",4,False,False,"1,2,3,6,29,58,87,174",True,True,True,1,True,1,1,29,"{[ 0, 1, 0 ]}"
"6.29-[1,2,3,6,29,58,87,174]",6,29,6,174,1,1,"1,2,3,6,29,58,87,174","2,3,6,29,58,87,174",8,False,True,"1,2,3,6,29,58,87,174",True,True,True,1,True,0,infinite,29,[]
6.31-[1],6,31,6,186,1,1,1,,1,True,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,5,0,31,{}
"6.31-[1,2]",6,31,6,186,1,1,"1,2",2,2,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,3,0,31,{}
"6.31-[1,3]",6,31,6,186,1,1,"1,3",3,2,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,2,0,31,{}
"6.31-[1,6]",6,31,6,186,1,1,"1,6",6,2,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,2,0,31,{}
"6.31-[1,31]",6,31,6,186,1,1,"1,31",31,2,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,3,0,31,{}
"6.31-[1,62]",6,31,6,186,1,1,"1,62",62,2,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,3,2,31,"{[ 3, -300, 5 ],[ -1, 0, 1 ]}"
