# T03 PARKED gps point-count updates -- PROVISIONAL, pending T27 reload + target-row generation.
# Per-curve num_known_degree1_points / pointless for UNMAPPED AL-quotient curves.
# coords_na=t: the count is known but the source stored coordinates as 'NA' (no point rows).
old_label|park_reason|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|num_known_degree1_points|num_known_degree1_noncm_points|pointless|coords_na
6.17-[1,3]|PENDING_GENERATION|6|102|1|1|1,3|2|0|0|\N|f
6.17-[1,51]|PENDING_GENERATION|6|102|1|1|1,51|1|2|\N|f|f
6.17-[1,6,17,102]|PENDING_GENERATION|6|102|1|1|1,6,17,102|1|2|\N|f|t
6.17-[1,6,34,51]|PENDING_GENERATION|6|102|1|1|1,6,34,51|0|\N|\N|f|f
6.17-[1,6]|PENDING_GENERATION|6|102|1|1|1,6|2|0|0|\N|f
6.19-[1,114]|PENDING_GENERATION|6|114|1|1|1,114|0|\N|\N|f|f
6.19-[1,19]|PENDING_GENERATION|6|114|1|1|1,19|1|0|0|\N|f
6.19-[1,2,19,38]|PENDING_GENERATION|6|114|1|1|1,2,19,38|1|2|\N|f|f
6.19-[1,2,3,6,19,38,57,114]|PENDING_GENERATION|6|114|1|1|1,2,3,6,19,38,57,114|0|\N|\N|f|f
6.19-[1,2,3,6]|PENDING_GENERATION|6|114|1|1|1,2,3,6|1|2|\N|f|f
6.19-[1,2,57,114]|PENDING_GENERATION|6|114|1|1|1,2,57,114|0|\N|\N|f|f
6.19-[1,2]|PENDING_GENERATION|6|114|1|1|1,2|2|0|0|\N|f
6.19-[1,3,19,57]|PENDING_GENERATION|6|114|1|1|1,3,19,57|0|0|0|\N|f
6.19-[1,3,38,114]|PENDING_GENERATION|6|114|1|1|1,3,38,114|0|\N|\N|f|f
6.19-[1,38]|PENDING_GENERATION|6|114|1|1|1,38|2|2|\N|f|f
6.19-[1,3]|PENDING_GENERATION|6|114|1|1|1,3|1|0|0|\N|f
6.19-[1,57]|PENDING_GENERATION|6|114|1|1|1,57|1|0|0|\N|f
6.19-[1,6,19,114]|PENDING_GENERATION|6|114|1|1|1,6,19,114|0|\N|\N|f|f
6.19-[1,6,38,57]|PENDING_GENERATION|6|114|1|1|1,6,38,57|1|2|\N|f|f
6.19-[1,6]|PENDING_GENERATION|6|114|1|1|1,6|2|2|\N|f|f
6.29-[1,174]|PENDING_GENERATION|6|174|1|1|1,174|0|\N|\N|f|f
6.29-[1,2,29,58]|PENDING_GENERATION|6|174|1|1|1,2,29,58|1|1|\N|f|f
6.29-[1,2,3,6,29,58,87,174]|PENDING_GENERATION|6|174|1|1|1,2,3,6,29,58,87,174|0|\N|\N|f|f
6.29-[1,2,3,6]|PENDING_GENERATION|6|174|1|1|1,2,3,6|1|1|\N|f|f
6.29-[1,2,87,174]|PENDING_GENERATION|6|174|1|1|1,2,87,174|0|\N|\N|f|f
6.29-[1,29]|PENDING_GENERATION|6|174|1|1|1,29|3|0|0|\N|f
6.29-[1,2]|PENDING_GENERATION|6|174|1|1|1,2|2|0|0|\N|f
6.29-[1,3,29,87]|PENDING_GENERATION|6|174|1|1|1,3,29,87|2|3|\N|f|f
6.29-[1,3,58,174]|PENDING_GENERATION|6|174|1|1|1,3,58,174|0|\N|\N|f|f
6.29-[1,3]|PENDING_GENERATION|6|174|1|1|1,3|3|0|0|\N|f
6.29-[1,58]|PENDING_GENERATION|6|174|1|1|1,58|2|0|0|\N|f
6.29-[1,6,29,174]|PENDING_GENERATION|6|174|1|1|1,6,29,174|0|\N|\N|f|f
6.29-[1,6,58,87]|PENDING_GENERATION|6|174|1|1|1,6,58,87|1|1|\N|f|f
6.29-[1,6]|PENDING_GENERATION|6|174|1|1|1,6|2|0|0|\N|f
6.29-[1,87]|PENDING_GENERATION|6|174|1|1|1,87|3|2|\N|f|f
6.31-[1,186]|PENDING_GENERATION|6|186|1|1|1,186|0|\N|\N|f|f
6.31-[1,2,3,6,31,62,93,186]|PENDING_GENERATION|6|186|1|1|1,2,3,6,31,62,93,186|0|\N|\N|f|f
6.31-[1,2,3,6]|PENDING_GENERATION|6|186|1|1|1,2,3,6|1|1|\N|f|f
6.31-[1,2,31,62]|PENDING_GENERATION|6|186|1|1|1,2,31,62|2|3|\N|f|f
6.31-[1,2,93,186]|PENDING_GENERATION|6|186|1|1|1,2,93,186|0|\N|\N|f|f
6.31-[1,2]|PENDING_GENERATION|6|186|1|1|1,2|3|0|0|\N|f
6.31-[1,3,31,93]|PENDING_GENERATION|6|186|1|1|1,3,31,93|1|1|\N|f|f
6.31-[1,3,62,186]|PENDING_GENERATION|6|186|1|1|1,3,62,186|0|\N|\N|f|f
6.31-[1,31]|PENDING_GENERATION|6|186|1|1|1,31|3|0|0|\N|f
6.31-[1,3]|PENDING_GENERATION|6|186|1|1|1,3|2|0|0|\N|f
6.31-[1,6,31,186]|PENDING_GENERATION|6|186|1|1|1,6,31,186|0|\N|\N|f|f
6.31-[1,6,62,93]|PENDING_GENERATION|6|186|1|1|1,6,62,93|1|1|\N|f|f
6.31-[1,62]|PENDING_GENERATION|6|186|1|1|1,62|3|2|\N|f|f
6.31-[1,6]|PENDING_GENERATION|6|186|1|1|1,6|2|0|0|\N|f
6.31-[1,93]|PENDING_GENERATION|6|186|1|1|1,93|2|0|0|\N|f
6.37-[1,111]|PENDING_GENERATION|6|222|1|1|1,111|3|2|\N|f|f
6.37-[1,2,111,222]|PENDING_GENERATION|6|222|1|1|1,2,111,222|0|\N|\N|f|f
6.37-[1,2,3,6,37,74,111,222]|PENDING_GENERATION|6|222|1|1|1,2,3,6,37,74,111,222|0|\N|\N|f|f
6.37-[1,2,3,6]|PENDING_GENERATION|6|222|1|1|1,2,3,6|1|1|\N|f|f
6.37-[1,2,37,74]|PENDING_GENERATION|6|222|1|1|1,2,37,74|1|1|\N|f|f
6.37-[1,222]|PENDING_GENERATION|6|222|1|1|1,222|0|\N|\N|f|f
6.37-[1,2]|PENDING_GENERATION|6|222|1|1|1,2|2|0|0|\N|f
6.37-[1,3,37,111]|PENDING_GENERATION|6|222|1|1|1,3,37,111|1|1|\N|f|f
6.37-[1,3,74,222]|PENDING_GENERATION|6|222|1|1|1,3,74,222|0|\N|\N|f|f
6.37-[1,37]|PENDING_GENERATION|6|222|1|1|1,37|2|0|0|\N|f
6.37-[1,3]|PENDING_GENERATION|6|222|1|1|1,3|2|0|0|\N|f
6.37-[1,6,37,222]|PENDING_GENERATION|6|222|1|1|1,6,37,222|0|\N|\N|f|f
6.37-[1,6,74,111]|PENDING_GENERATION|6|222|1|1|1,6,74,111|2|3|\N|f|f
6.37-[1,6]|PENDING_GENERATION|6|222|1|1|1,6|3|0|0|\N|f
6.37-[1,74]|PENDING_GENERATION|6|222|1|1|1,74|3|2|\N|f|f
6.11-[1,11]|PENDING_GENERATION|6|66|1|1|1,11|2|0|0|\N|f
6.11-[1,2,11,22]|PENDING_GENERATION|6|66|1|1|1,2,11,22|1|2|\N|f|f
6.11-[1,2,3,6,11,22,33,66]|PENDING_GENERATION|6|66|1|1|1,2,3,6,11,22,33,66|0|\N|\N|f|f
6.11-[1,2,3,6]|PENDING_GENERATION|6|66|1|1|1,2,3,6|1|2|\N|f|f
6.11-[1,2,33,66]|PENDING_GENERATION|6|66|1|1|1,2,33,66|0|\N|\N|f|f
6.11-[1,22]|PENDING_GENERATION|6|66|1|1|1,22|1|0|0|\N|f
6.11-[1,2]|PENDING_GENERATION|6|66|1|1|1,2|2|0|0|\N|f
6.11-[1,3,11,33]|PENDING_GENERATION|6|66|1|1|1,3,11,33|1|2|\N|f|f
6.11-[1,3,22,66]|PENDING_GENERATION|6|66|1|1|1,3,22,66|0|\N|\N|f|f
6.11-[1,33]|PENDING_GENERATION|6|66|1|1|1,33|1|0|0|\N|f
6.11-[1,3]|PENDING_GENERATION|6|66|1|1|1,3|2|0|0|\N|f
6.11-[1,6,11,66]|PENDING_GENERATION|6|66|1|1|1,6,11,66|0|\N|\N|f|f
6.11-[1,6,22,33]|PENDING_GENERATION|6|66|1|1|1,6,22,33|0|0|0|\N|f
6.11-[1,66]|PENDING_GENERATION|6|66|1|1|1,66|0|\N|\N|f|f
6.11-[1,6]|PENDING_GENERATION|6|66|1|1|1,6|1|0|0|\N|f
62.1-[1,2,31,62]|PENDING_GENERATION|62|62|1|1|1,2,31,62|0|\N|\N|f|f
62.1-[1,2]|PENDING_GENERATION|62|62|1|1|1,2|1|0|0|\N|f
62.1-[1,31]|PENDING_GENERATION|62|62|1|1|1,31|2|2|\N|f|f
62.1-[1,62]|PENDING_GENERATION|62|62|1|1|1,62|0|\N|\N|f|f
69.1-[1,23]|PENDING_GENERATION|69|69|1|1|1,23|2|2|\N|f|f
69.1-[1,3,23,69]|PENDING_GENERATION|69|69|1|1|1,3,23,69|0|\N|\N|f|f
69.1-[1,3]|PENDING_GENERATION|69|69|1|1|1,3|1|0|0|\N|f
69.1-[1,69]|PENDING_GENERATION|69|69|1|1|1,69|0|\N|\N|f|f
74.1-[1,2,37,74]|PENDING_GENERATION|74|74|1|1|1,2,37,74|0|\N|\N|f|f
74.1-[1,2]|PENDING_GENERATION|74|74|1|1|1,2|2|1|\N|f|f
74.1-[1,37]|PENDING_GENERATION|74|74|1|1|1,37|2|1|\N|f|f
74.1-[1,74]|PENDING_GENERATION|74|74|1|1|1,74|0|\N|\N|f|f
82.1-[1,2,41,82]|PENDING_GENERATION|82|82|1|1|1,2,41,82|0|\N|\N|f|f
82.1-[1,2]|PENDING_GENERATION|82|82|1|1|1,2|2|0|0|\N|f
82.1-[1,41]|PENDING_GENERATION|82|82|1|1|1,41|0|0|0|\N|f
82.1-[1,82]|PENDING_GENERATION|82|82|1|1|1,82|1|2|\N|f|t
86.1-[1,2,43,86]|PENDING_GENERATION|86|86|1|1|1,2,43,86|0|\N|\N|f|f
86.1-[1,2]|PENDING_GENERATION|86|86|1|1|1,2|2|1|\N|f|f
86.1-[1,43]|PENDING_GENERATION|86|86|1|1|1,43|2|1|\N|f|f
86.1-[1,86]|PENDING_GENERATION|86|86|1|1|1,86|0|\N|\N|f|f
87.1-[1,29]|PENDING_GENERATION|87|87|1|1|1,29|3|0|0|\N|f
87.1-[1,3,29,87]|PENDING_GENERATION|87|87|1|1|1,3,29,87|0|\N|\N|f|f
87.1-[1,3]|PENDING_GENERATION|87|87|1|1|1,3|2|0|0|\N|f
87.1-[1,87]|PENDING_GENERATION|87|87|1|1|1,87|0|\N|\N|f|f
93.1-[1,3,31,93]|PENDING_GENERATION|93|93|1|1|1,3,31,93|0|\N|\N|f|f
93.1-[1,31]|PENDING_GENERATION|93|93|1|1|1,31|0|0|0|\N|f
93.1-[1,3]|PENDING_GENERATION|93|93|1|1|1,3|3|0|0|\N|f
93.1-[1,93]|PENDING_GENERATION|93|93|1|1|1,93|2|0|0|\N|f
94.1-[1,2,47,94]|PENDING_GENERATION|94|94|1|1|1,2,47,94|0|\N|\N|f|f
94.1-[1,2]|PENDING_GENERATION|94|94|1|1|1,2|1|0|0|\N|f
94.1-[1,47]|PENDING_GENERATION|94|94|1|1|1,47|2|2|\N|f|f
94.1-[1,94]|PENDING_GENERATION|94|94|1|1|1,94|0|\N|\N|f|f
95.1-[1,19]|PENDING_GENERATION|95|95|1|1|1,19|4|0|0|\N|f
95.1-[1,5,19,95]|PENDING_GENERATION|95|95|1|1|1,5,19,95|0|\N|\N|f|f
95.1-[1,5]|PENDING_GENERATION|95|95|1|1|1,5|3|0|0|\N|f
95.1-[1,95]|PENDING_GENERATION|95|95|1|1|1,95|0|\N|\N|f|f
