# T03 PARKED gps point-count updates -- PROVISIONAL, pending T27 reload + target-row generation.
# Per-curve num_known_degree1_points / pointless for UNMAPPED AL-quotient curves.
# coords_na=t: the count is known but the source stored coordinates as 'NA' (no point rows).
old_label|park_reason|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|num_known_degree1_points|num_known_degree1_noncm_points|pointless|coords_na
111.1-[1,111]|PENDING_GENERATION|111|111|1|1|1,111|0|\N|\N|f|f
111.1-[1,3,37,111]|PENDING_GENERATION|111|111|1|1|1,3,37,111|0|\N|\N|f|f
111.1-[1,37]|PENDING_GENERATION|111|111|1|1|1,37|3|0|0|\N|f
111.1-[1,3]|PENDING_GENERATION|111|111|1|1|1,3|4|0|0|\N|f
119.1-[1,119]|PENDING_GENERATION|119|119|1|1|1,119|0|\N|\N|f|f
119.1-[1,17]|PENDING_GENERATION|119|119|1|1|1,17|5|0|0|\N|f
119.1-[1,7,17,119]|PENDING_GENERATION|119|119|1|1|1,7,17,119|0|\N|\N|f|f
119.1-[1,7]|PENDING_GENERATION|119|119|1|1|1,7|4|0|0|\N|f
134.1-[1,134]|PENDING_GENERATION|134|134|1|1|1,134|0|\N|\N|f|f
134.1-[1,2,67,134]|PENDING_GENERATION|134|134|1|1|1,2,67,134|0|\N|\N|f|f
134.1-[1,2]|PENDING_GENERATION|134|134|1|1|1,2|3|0|0|\N|f
134.1-[1,67]|PENDING_GENERATION|134|134|1|1|1,67|3|0|0|\N|f
14.3-[1,14]|PENDING_GENERATION|14|42|1|1|1,14|0|0|0|\N|f
14.3-[1,2,21,42]|PENDING_GENERATION|14|42|1|1|1,2,21,42|0|\N|\N|f|f
14.3-[1,2,3,6,7,14,21,42]|PENDING_GENERATION|14|42|1|1|1,2,3,6,7,14,21,42|0|\N|\N|f|f
14.3-[1,2,3,6]|PENDING_GENERATION|14|42|1|1|1,2,3,6|1|2|\N|f|f
14.3-[1,2,7,14]|PENDING_GENERATION|14|42|1|1|1,2,7,14|0|\N|\N|f|f
14.3-[1,21]|PENDING_GENERATION|14|42|1|1|1,21|1|6|\N|f|f
14.3-[1,2]|PENDING_GENERATION|14|42|1|1|1,2|1|0|0|\N|f
14.3-[1,3,14,42]|PENDING_GENERATION|14|42|1|1|1,3,14,42|0|\N|\N|f|f
14.3-[1,3,7,21]|PENDING_GENERATION|14|42|1|1|1,3,7,21|1|6|\N|f|f
14.3-[1,3]|PENDING_GENERATION|14|42|1|1|1,3|2|0|0|\N|f
14.3-[1,42]|PENDING_GENERATION|14|42|1|1|1,42|1|6|\N|f|f
14.3-[1,6,14,21]|PENDING_GENERATION|14|42|1|1|1,6,14,21|0|\N|\N|f|f
