label,discB,discO,deg_mu,level,index,genus
106.1.1.4.4.a.1,106,106,1,1,4,4
111.1.1.4.7.a.1,111,111,1,1,4,7
115.1.1.4.7.a.1,115,115,1,1,4,7
118.1.1.4.4.a.1,118,118,1,1,4,4
119.1.1.2.9.a.1,119,119,1,1,2,9
122.1.1.4.6.a.1,122,122,1,1,4,6
123.1.1.4.7.a.1,123,123,1,1,4,7
129.1.1.2.7.a.1,129,129,1,1,2,7
133.1.1.2.9.a.1,133,133,1,1,2,9
134.1.1.2.6.a.1,134,134,1,1,2,6
141.1.1.2.7.a.1,141,141,1,1,2,7
142.1.1.2.5.a.1,142,142,1,1,2,5
143.1.1.4.11.a.1,143,143,1,1,4,11
145.1.1.2.9.a.1,145,145,1,1,2,9
146.1.1.2.7.a.1,146,146,1,1,2,7
155.1.1.2.11.a.1,155,155,1,1,2,11
158.1.1.2.7.a.1,158,158,1,1,2,7
159.1.1.4.9.a.1,159,159,1,1,4,9
161.1.1.2.11.a.1,161,161,1,1,2,11
166.1.1.4.6.a.1,166,166,1,1,4,6
177.1.1.2.9.a.1,177,177,1,1,2,9
178.1.1.2.7.a.1,178,178,1,1,2,7
183.1.1.4.11.a.1,183,183,1,1,4,11
185.1.1.2.13.a.1,185,185,1,1,2,13
187.1.1.4.13.a.1,187,187,1,1,4,13
194.1.1.2.9.a.1,194,194,1,1,2,9
201.1.1.2.11.a.1,201,201,1,1,2,11
202.1.1.4.8.a.1,202,202,1,1,4,8
203.1.1.2.15.a.1,203,203,1,1,2,15
205.1.1.2.13.a.1,205,205,1,1,2,13
206.1.1.2.9.a.1,206,206,1,1,2,9
209.1.1.2.15.a.1,209,209,1,1,2,15
210.1.1.4.5.a.1,210,210,1,1,4,5
213.1.1.2.11.a.1,213,213,1,1,2,11
214.1.1.4.8.a.1,214,214,1,1,4,8
215.1.1.4.15.a.1,215,215,1,1,4,15
217.1.1.2.15.a.1,217,217,1,1,2,15
218.1.1.4.10.a.1,218,218,1,1,4,10
219.1.1.2.13.a.1,219,219,1,1,2,13
221.1.1.2.17.a.1,221,221,1,1,2,17
226.1.1.2.9.a.1,226,226,1,1,2,9
235.1.1.4.15.a.1,235,235,1,1,4,15
237.1.1.2.13.a.1,237,237,1,1,2,13
247.1.1.4.19.a.1,247,247,1,1,4,19
249.1.1.2.13.a.1,249,249,1,1,2,13
253.1.1.2.17.a.1,253,253,1,1,2,17
254.1.1.2.11.a.1,254,254,1,1,2,11
259.1.1.2.19.a.1,259,259,1,1,2,19
262.1.1.4.10.a.1,262,262,1,1,4,10
265.1.1.2.17.a.1,265,265,1,1,2,17
267.1.1.2.15.a.1,267,267,1,1,2,15
274.1.1.2.11.a.1,274,274,1,1,2,11
278.1.1.4.12.a.1,278,278,1,1,4,12
287.1.1.4.21.a.1,287,287,1,1,4,21
291.1.1.2.17.a.1,291,291,1,1,2,17
295.1.1.4.19.a.1,295,295,1,1,4,19
298.1.1.4.12.a.1,298,298,1,1,4,12
299.1.1.2.23.a.1,299,299,1,1,2,23
301.1.1.2.21.a.1,301,301,1,1,2,21
302.1.1.2.13.a.1,302,302,1,1,2,13
303.1.1.4.17.a.1,303,303,1,1,4,17
305.1.1.2.21.a.1,305,305,1,1,2,21
309.1.1.2.17.a.1,309,309,1,1,2,17
314.1.1.2.14.a.1,314,314,1,1,2,14
319.1.1.4.23.a.1,319,319,1,1,4,23
321.1.1.2.17.a.1,321,321,1,1,2,17
323.1.1.4.25.a.1,323,323,1,1,4,25
326.1.1.2.14.a.1,326,326,1,1,2,14
327.1.1.4.19.a.1,327,327,1,1,4,19
329.1.1.2.23.a.1,329,329,1,1,2,23
330.1.1.4.5.a.1,330,330,1,1,4,5
334.1.1.2.13.a.1,334,334,1,1,2,13
335.1.1.4.23.a.1,335,335,1,1,4,23
339.1.1.2.19.a.1,339,339,1,1,2,19
341.1.1.2.25.a.1,341,341,1,1,2,25
346.1.1.2.14.a.1,346,346,1,1,2,14
355.1.1.2.23.a.1,355,355,1,1,2,23
358.1.1.4.14.a.1,358,358,1,1,4,14
362.1.1.4.16.a.1,362,362,1,1,4,16
365.1.1.4.25.a.1,365,365,1,1,4,25
371.1.1.2.27.a.1,371,371,1,1,2,27
377.1.1.2.29.a.1,377,377,1,1,2,29
381.1.1.2.21.a.1,381,381,1,1,2,21
382.1.1.2.15.a.1,382,382,1,1,2,15
386.1.1.2.17.a.1,386,386,1,1,2,17
390.1.1.4.9.a.1,390,390,1,1,4,9
391.1.1.2.29.a.1,391,391,1,1,2,29
393.1.1.2.21.a.1,393,393,1,1,2,21
394.1.1.4.16.a.1,394,394,1,1,4,16
395.1.1.2.27.a.1,395,395,1,1,2,27
398.1.1.2.17.a.1,398,398,1,1,2,17
403.1.1.2.31.a.1,403,403,1,1,2,31
407.1.1.4.31.a.1,407,407,1,1,4,31
411.1.1.2.23.a.1,411,411,1,1,2,23
413.1.1.2.29.a.1,413,413,1,1,2,29
415.1.1.4.27.a.1,415,415,1,1,4,27
417.1.1.2.23.a.1,417,417,1,1,2,23
422.1.1.4.18.a.1,422,422,1,1,4,18
427.1.1.2.31.a.1,427,427,1,1,2,31
437.1.1.2.33.a.1,437,437,1,1,2,33
445.1.1.2.29.a.1,445,445,1,1,2,29
446.1.1.2.19.a.1,446,446,1,1,2,19
447.1.1.4.25.a.1,447,447,1,1,4,25
451.1.1.4.33.a.1,451,451,1,1,4,33
453.1.1.2.25.a.1,453,453,1,1,2,25
454.1.1.4.18.a.1,454,454,1,1,4,18
458.1.1.2.20.a.1,458,458,1,1,2,20
462.1.1.4.9.a.1,462,462,1,1,4,9
466.1.1.2.19.a.1,466,466,1,1,2,19
469.1.1.2.33.a.1,469,469,1,1,2,33
471.1.1.4.27.a.1,471,471,1,1,4,27
473.1.1.2.35.a.1,473,473,1,1,2,35
478.1.1.2.19.a.1,478,478,1,1,2,19
481.1.1.2.37.a.1,481,481,1,1,2,37
482.1.1.2.21.a.1,482,482,1,1,2,21
485.1.1.4.33.a.1,485,485,1,1,4,33
489.1.1.2.27.a.1,489,489,1,1,2,27
493.1.1.4.37.a.1,493,493,1,1,4,37
497.1.1.2.35.a.1,497,497,1,1,2,35
501.1.1.2.27.a.1,501,501,1,1,2,27
502.1.1.4.20.a.1,502,502,1,1,4,20
505.1.1.2.33.a.1,505,505,1,1,2,33
510.1.1.4.9.a.1,510,510,1,1,4,9
511.1.1.2.37.a.1,511,511,1,1,2,37
514.1.1.2.21.a.1,514,514,1,1,2,21
515.1.1.4.35.a.1,515,515,1,1,4,35
517.1.1.2.37.a.1,517,517,1,1,2,37
519.1.1.4.29.a.1,519,519,1,1,4,29
526.1.1.2.21.a.1,526,526,1,1,2,21
527.1.1.4.41.a.1,527,527,1,1,4,41
533.1.1.4.41.a.1,533,533,1,1,4,41
535.1.1.4.35.a.1,535,535,1,1,4,35
537.1.1.2.29.a.1,537,537,1,1,2,29
538.1.1.4.22.a.1,538,538,1,1,4,22
542.1.1.2.23.a.1,542,542,1,1,2,23
543.1.1.4.31.a.1,543,543,1,1,4,31
545.1.1.2.37.a.1,545,545,1,1,2,37
546.1.1.2.13.a.1,546,546,1,1,2,13
551.1.1.4.43.a.1,551,551,1,1,4,43
553.1.1.2.39.a.1,553,553,1,1,2,39
