



1.23.e|{y^2=x^3+15*x+15,y^2=x^3+x+1,y^2=x^3+9*x+9,y^2=x^3+4*x+20}
1.23.ah|{y^2=x^3+10*x+10}
1.23.ac|{y^2=x^3+x+5,y^2=x^3+14*x+1}
1.23.i|{y^2=x^3+19*x+3,y^2=x^3+6*x+7}
1.23.b|{y^2=x^3+19*x+19,y^2=x^3+17*x+16}
1.23.ag|{y^2=x^3+11*x+11,y^2=x^3+16*x+11,y^2=x^3+5*x+5,y^2=x^3+17*x+17}
1.23.f|{y^2=x^3+13*x+13}
1.23.ai|{y^2=x^3+21*x+21,y^2=x^3+3*x+3}


(g, q)= (1,25)
1.25.d|{y^2=x^3+a^23*x+a^23,y^2=x^3+a^19*x+a^19}
1.25.ai|{y^2=x^3+a*x,y^2=x^3+a^17*x+a^17,y^2=x^3+a^13*x+a^13}
1.25.j|{y^2=x^3+3*x+3}
1.25.ad|{y^2=x^3+a*x+a^2,y^2=x^3+a^21*x+a^22}
1.25.e|{y^2=x^3+3*x+a^19,y^2=x^3+a^10*x+a^11,y^2=x^3+a^14*x+a^14,y^2=x^3+a^22*x+a^22}
1.25.aj|{y^2=x^3+a^20*x+a^21}
1.25.k|{y^2=x^3+1}
1.25.ae|{y^2=x^3+a^16*x+a^16,y^2=x^3+x+a,y^2=x^3+a^8*x+a^8,y^2=x^3+a^16*x+a^17}
1.25.f|{y^2=x^3+a}
1.25.ak|{y^2=x^3+a^3}
1.25.af|{y^2=x^3+a^2}
1.25.g|{y^2=x^3+a^20*x+a^20,y^2=x^3+a^4*x+a^4,y^2=x^3+4*x+4,y^2=x^3+x}
1.25.b|{y^2=x^3+x+1,y^2=x^3+4*x+a^13,y^2=x^3+a^4*x+a^5}
1.25.ag|{y^2=x^3+a^14*x+a^15,y^2=x^3+2*x+a^7,y^2=x^3+a^2*x,y^2=x^3+a^22*x+a^23}
1.25.h|{y^2=x^3+a^9*x+a^9,y^2=x^3+a^21*x+a^21}
1.25.ab|{y^2=x^3+a^2*x+a^2,y^2=x^3+a^10*x+a^10,y^2=x^3+a^2*x+a^3}
1.25.c|{y^2=x^3+a^13*x+a^14,y^2=x^3+a^5*x+2,y^2=x^3+a^5*x+a^5,y^2=x^3+a^9*x+a^10,y^2=x^3+a^17*x+3,y^2=x^3+a*x+a}
1.25.ah|{y^2=x^3+a^11*x+4,y^2=x^3+a^23*x+1}
1.25.i|{y^2=x^3+a^3*x,y^2=x^3+a^19*x+a^20,y^2=x^3+a^15*x+a^16}
1.25.ac|{y^2=x^3+a^15*x+a^15,y^2=x^3+a^3*x+a^4,y^2=x^3+a^11*x+a^11,y^2=x^3+a^3*x+a^3,y^2=x^3+a^7*x+a^8,y^2=x^3+a^7*x+a^7}


(g, q)= (1,29)
1.29.af|{y^2=x^3+6*x+12,y^2=x^3+18*x+7}
1.29.c|{y^2=x^3+17*x+5,y^2=x^3+18*x+18,y^2=x^3+9*x+9,y^2=x^3+26*x+23}
1.29.g|{y^2=x^3+23*x+17,y^2=x^3+22*x+22,y^2=x^3+x+1,y^2=x^3+5*x+5,y^2=x^3+17*x+17,y^2=x^3+14*x+14}
1.29.ah|{y^2=x^3+25*x+21}
1.29.ac|{y^2=x^3+21*x+21,y^2=x^3+26*x+26,y^2=x^3+7*x+14,y^2=x^3+14*x+28}
1.29.k|{y^2=x^3+12*x+12}
